City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,289,0.39,237.29,96.13,8529.83,103.85,6.36
天津市,Tianjin,TJ,117.2,39.13333,250,0.36,441.34,177.44,7662.64,49.27,39.86
河北省,Hebei,HE,115.48333,38.03333,3788,8.67,8416.01,3584.87,59315.3,1365.49,123.06
山西省,Shanxi,SX,112.53333,37.86667,1666,3.05,3667.89,1362.01,8688.54,730.87,4.56
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,986,3.13,7823.05,3070.48,11364.35,221.47,14.13
辽宁省,Liaoning,LN,123.38333,41.8,1464,6.0,4154.41,2353.31,68587.56,801.65,505.03
吉林省,Jilin,JL,125.35,43.88333,1181,5.69,5632.95,3763.3,44353.15,118.7,18.58
黑龙江省,Heilongjiang,HL,127.63333,47.75,1538,8.4,14211.99,7055.11,21939.11,274.37,48.86
上海市,Shanghai,SH,121.55333,31.2,255,0.5,391.3,128.65,2540.9,69.98,28.88
江苏省,Jiangsu,JS,119.78333,32.05,2917,8.12,7597.93,3440.82,83600.41,814.19,509.38
浙江省,Zhejiang,ZJ,120.2,30.26667,2086,6.22,2062.45,601.17,24166.75,715.65,550.82
安徽省,Anhui,AH,117.283042,31.86119,3122,11.78,9364.9,3540.86,80794.11,905.06,215.53
福建省,Fujian,FJ,118.3,26.08333,1523,5.78,1740.96,534.68,43333.43,608.16,658.48
江西省,Jiangxi,JX,115.9,28.68333,2281,9.99,5636.98,2182.37,40235.88,637.77,242.65
山东省,Shandong,SD,117.000923,36.675807,4536,15.84,11136.63,4883.44,195656.54,2604.64,863.16
河南省,Henan,HA,113.65,34.76667,5399,13.01,14586.5,6023.8,87514.44,2425.39,85.01
湖北省,Hubei,HB,114.298572,30.584355,2638,12.72,7731.26,2586.21,52965.51,912.33,410.37
湖南省,Hunan,HN,113.0,28.21667,3456,12.43,8352.67,2989.54,41324.89,810.3,234.06
广东省,Guangdong,GD,113.23333,23.16667,3596,11.01,4178.17,1202.48,110163.36,1308.81,816.13
广西壮族自治区,Guangxi,GX,108.320004,22.82402,2597,6.9,6076.46,1450.71,88557.04,1347.49,319.34
海南省,Hainan,HI,110.35,20.01667,439,4.35,772.48,168.55,15035.0,435.98,183.14
重庆市,Chongqing,CQ,106.45,29.56667,1256,1.84,3318.49,1055.15,20246.09,311.87,38.5
四川省,Sichuan,SC,104.06667,30.66667,4463,6.0,9371.69,3336.06,63774.7,822.03,126.06
贵州省,Guizhou,GZ,106.71667,26.56667,2256,1.35,5388.73,1075.75,11509.38,159.23,16.7
云南省,Yunnan,YN,102.73333,25.05,2785,5.48,6848.56,1757.39,21395.82,657.18,48.63
西藏自治区,Tibet,XZ,91.0,30.6,241,0.1,225.77,96.13,207.09,1.46,0.04
陕西省,Shaanxi,SN,108.95,34.26667,1842,1.3,4108.22,1210.55,5727.76,1649.64,12.52
甘肃省,Gansu,GS,103.73333,36.03333,1510,7.78,3779.84,1117.47,4399.81,451.85,1.39
青海省,Qinghai,QH,96.75,36.56667,290,0.2,555.77,103.55,468.31,2.96,0.6
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,314,0.27,1147.08,373.29,1702.89,201.26,14.49
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1258,2.13,4744.47,1726.95,6611.01,1229.23,13.17
