City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,274,,,37.75,,48.84,
天津市,Tianjin,TJ,117.2,39.13333,208,,,249.87,,49.43,
河北省,Hebei,HE,115.48333,38.03333,2894,,,3825.09,,1445.08,
山西省,Shanxi,SX,112.53333,37.86667,1273,,,1421.25,,974.87,
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,763,,,3840.3,,190.82,
辽宁省,Liaoning,LN,123.38333,41.8,1150,,,2538.74,,856.42,
吉林省,Jilin,JL,125.35,43.88333,870,,,4039.24,,164.09,
黑龙江省,Heilongjiang,HL,127.63333,47.75,1072,,,7867.72,,184.29,
上海市,Shanghai,SH,121.55333,31.2,266,,,93.96,,32.62,
江苏省,Jiangsu,JS,119.78333,32.05,2216,,,3746.1,,969.13,
浙江省,Zhejiang,ZJ,120.2,30.26667,1788,,,620.9,,722.55,
安徽省,Anhui,AH,117.283042,31.86119,2482,,,4087.56,,778.1,
福建省,Fujian,FJ,118.3,26.08333,1269,,,506.42,,810.29,
江西省,Jiangxi,JX,115.9,28.68333,1741,,,2192.33,,744.64,
山东省,Shandong,SD,117.000923,36.675807,3667,,,5500.75,,3032.59,
河南省,Henan,HA,113.65,34.76667,4304,,,6544.17,,2455.34,
湖北省,Hubei,HB,114.298572,30.584355,2094,,,2764.33,,1119.38,
湖南省,Hunan,HN,113.0,28.21667,2668,,,3074.36,,1193.64,
广东省,Guangdong,GD,113.23333,23.16667,3218,,,1279.87,,1957.79,
广西壮族自治区,Guangxi,GX,108.320004,22.82402,2263,,,1386.54,,3121.13,
海南省,Hainan,HI,110.35,20.01667,398,,,146.03,,525.67,
重庆市,Chongqing,CQ,106.45,29.56667,953,,,1092.84,,553.18,
四川省,Sichuan,SC,104.06667,30.66667,3531,,,3582.14,,1290.9,
贵州省,Guizhou,GZ,106.71667,26.56667,1759,,,1094.86,,653.66,
云南省,Yunnan,YN,102.73333,25.05,2296,,,1930.3,,1142.6,
西藏自治区,Tibet,XZ,91.0,30.6,232,,,106.15,,3.01,
陕西省,Shaanxi,SN,108.95,34.26667,1438,,,1270.43,,2141.13,
甘肃省,Gansu,GS,103.73333,36.03333,1162,,,1231.46,,883.77,
青海省,Qinghai,QH,96.75,36.56667,232,,,109.09,,2.96,
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,246,,,368.44,,262.77,
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1107,,,1735.78,,1659.51,
