City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,,0.54,312.48,70.18,17419.5,113.36,6.68
天津市,Tianjin,TJ,117.2,39.13333,,0.31,504.3,122.77,8500.31,69.05,31.0
河北省,Hebei,HE,115.48333,38.03333,,7.57,8695.35,2480.07,65273.75,1346.34,92.38
山西省,Shanxi,SX,112.53333,37.86667,,2.07,3741.48,1062.0,3397.24,342.86,3.54
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,,1.15,5923.95,1505.3,12603.18,129.34,7.73
辽宁省,Liaoning,LN,123.38333,41.8,,4.56,3723.34,1720.0,51223.42,430.15,402.53
吉林省,Jilin,JL,125.35,43.88333,,2.57,4903.98,2510.0,45500.03,215.0,11.98
黑龙江省,Heilongjiang,HL,127.63333,47.75,,4.72,9888.4,3001.0,14943.9,315.58,43.01
上海市,Shanghai,SH,121.55333,31.2,,0.66,404.39,106.29,3149.88,111.44,34.41
江苏省,Jiangsu,JS,119.78333,32.05,,9.23,7668.98,2829.06,58258.68,619.99,366.13
浙江省,Zhejiang,ZJ,120.2,30.26667,,6.34,2778.41,834.9,19174.84,632.07,493.53
安徽省,Anhui,AH,117.283042,31.86119,,8.46,9200.35,2742.96,48245.28,719.57,171.33
福建省,Fujian,FJ,118.3,26.08333,,5.35,2519.32,736.45,17914.58,552.91,591.21
江西省,Jiangxi,JX,115.9,28.68333,,6.63,5182.78,1663.0,32738.71,290.99,156.34
山东省,Shandong,SD,117.000923,36.675807,,15.39,10638.57,3516.7,146834.98,2478.53,718.15
河南省,Henan,HA,113.65,34.76667,,10.12,13789.66,4260.0,62858.0,1638.59,42.7
湖北省,Hubei,HB,114.298572,30.584355,,11.26,7155.88,2100.12,33907.28,542.69,302.13
湖南省,Hunan,HN,113.0,28.21667,,10.95,7886.22,2640.0,42816.63,499.35,166.1
广东省,Guangdong,GD,113.23333,23.16667,,8.5,4807.97,1390.0,98744.44,908.96,664.56
广西壮族自治区,Guangxi,GX,108.320004,22.82402,,5.08,6368.15,1398.5,20166.09,702.33,268.89
海南省,Hainan,HI,110.35,20.01667,,1.56,826.94,190.11,9218.53,190.64,135.85
重庆市,Chongqing,CQ,106.45,29.56667,,1.95,3435.28,1144.5,13696.02,137.22,23.41
四川省,Sichuan,SC,104.06667,30.66667,,5.54,9387.53,3146.7,43551.0,494.83,86.12
贵州省,Guizhou,GZ,106.71667,26.56667,,0.95,4695.0,1149.58,6037.64,87.17,8.85
云南省,Yunnan,YN,102.73333,25.05,,2.91,5890.01,1509.5,11452.67,145.06,22.05
西藏自治区,Tibet,XZ,91.0,30.6,,0.07,231.24,96.0,,0.89,0.05
陕西省,Shaanxi,SN,108.95,34.26667,,0.97,4099.83,1040.0,5853.19,858.15,7.37
甘肃省,Gansu,GS,103.73333,36.03333,,1.63,3668.89,805.8,3419.9,245.65,1.45
青海省,Qinghai,QH,96.75,36.56667,,0.18,473.3,88.47,236.43,2.8,0.15
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,,0.18,1158.31,290.49,1498.44,68.56,5.65
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,,1.23,3592.26,796.5,8387.23,450.84,7.22
