City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,,0.52,308.83,58.03,16672.15,114.16,7.12
天津市,Tianjin,TJ,117.2,39.13333,,0.25,501.46,119.29,9441.88,84.33,29.83
河北省,Hebei,HE,115.48333,38.03333,,7.52,8638.5,2387.8,63314.07,1270.74,86.27
山西省,Shanxi,SX,112.53333,37.86667,,1.95,3707.95,958.87,3381.67,328.8,3.11
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,,1.06,5752.75,1360.73,9234.94,123.33,7.28
辽宁省,Liaoning,LN,123.38333,41.8,,4.45,3719.13,1498.3,47962.0,396.94,381.98
吉林省,Jilin,JL,125.35,43.88333,,2.36,4716.75,2259.6,44323.55,253.16,10.87
黑龙江省,Heilongjiang,HL,127.63333,47.75,,3.66,9802.67,2512.3,14273.08,356.72,41.89
上海市,Shanghai,SH,121.55333,31.2,,0.85,419.19,98.75,14800.0,114.48,35.48
江苏省,Jiangsu,JS,119.78333,32.05,,8.79,7681.49,2471.85,61151.7,601.95,342.93
浙江省,Zhejiang,ZJ,120.2,30.26667,,6.17,2834.39,793.38,20761.32,568.38,482.82
安徽省,Anhui,AH,117.283042,31.86119,,7.88,9124.69,2214.8,45328.34,609.07,165.26
福建省,Fujian,FJ,118.3,26.08333,,5.53,2518.92,713.16,17210.95,521.99,572.77
江西省,Jiangxi,JX,115.9,28.68333,,5.35,4997.35,1450.3,30856.47,273.16,146.06
山东省,Shandong,SD,117.000923,36.675807,,17.09,10885.28,3435.54,135918.96,2526.0,706.23
河南省,Henan,HA,113.65,34.76667,,9.87,13684.36,3569.47,59300.0,1318.51,38.95
湖北省,Hubei,HB,114.298572,30.584355,,9.99,7138.26,1921.02,33297.39,611.57,286.76
湖南省,Hunan,HN,113.0,28.21667,,9.54,7731.24,2442.73,41497.0,512.38,156.59
广东省,Guangdong,GD,113.23333,23.16667,,8.6,4883.39,1430.4,102183.02,836.94,648.55
广西壮族自治区,Guangxi,GX,108.320004,22.82402,,4.98,6279.07,1465.1,21206.93,641.16,264.61
海南省,Hainan,HI,110.35,20.01667,,1.34,906.74,204.6,8145.5,193.48,123.07
重庆市,Chongqing,CQ,106.45,29.56667,,1.95,3365.81,1087.1,12658.06,128.59,22.49
四川省,Sichuan,SC,104.06667,30.66667,,5.39,9384.46,3054.1,41086.2,464.93,76.4
贵州省,Guizhou,GZ,106.71667,26.56667,,0.9,4634.23,1104.3,5355.64,78.75,7.96
云南省,Yunnan,YN,102.73333,25.05,,2.69,5756.0,1471.01,10682.98,126.21,20.43
西藏自治区,Tibet,XZ,91.0,30.6,,0.06,233.66,96.6,,1.07,0.01
陕西省,Shaanxi,SN,108.95,34.26667,,0.98,4055.78,968.4,5918.89,730.94,6.67
甘肃省,Gansu,GS,103.73333,36.03333,,1.27,3620.92,789.34,3322.79,247.74,1.43
青海省,Qinghai,QH,96.75,36.56667,,0.17,466.8,86.8,248.82,2.4,0.13
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,,0.16,1129.48,270.17,1692.5,71.22,5.04
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,,1.21,3535.02,775.48,7360.97,408.3,6.73
