City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,279,0.4,316.76,124.77,12355.01,120.13,5.82
天津市,Tianjin,TJ,117.2,39.13333,270,0.38,440.31,157.13,6045.82,64.1,33.4
河北省,Hebei,HE,115.48333,38.03333,3957,8.65,8416.08,3017.43,52837.15,1365.45,100.41
山西省,Shanxi,SX,112.53333,37.86667,1851,2.53,3561.48,954.9,6098.13,478.09,3.1
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,1146,2.23,6895.77,2128.91,8838.7,178.99,10.6
辽宁省,Liaoning,LN,123.38333,41.8,1721,5.41,3810.64,1612.97,65304.55,586.21,400.61
吉林省,Jilin,JL,125.35,43.88333,1279,4.24,5091.09,2479.35,40175.65,188.39,16.52
黑龙江省,Heilongjiang,HL,127.63333,47.75,1703,6.68,12840.66,4788.87,17859.51,274.97,38.07
上海市,Shanghai,SH,121.55333,31.2,252,0.73,415.4,135.39,4030.12,102.11,30.9
江苏省,Jiangsu,JS,119.78333,32.05,3468,9.23,7407.98,3260.87,74010.33,715.71,443.22
浙江省,Zhejiang,ZJ,120.2,30.26667,2221,6.55,2444.08,723.09,27650.85,712.42,440.31
安徽省,Anhui,AH,117.283042,31.86119,3550,11.04,9344.68,3168.89,65233.49,745.76,183.15
福建省,Fujian,FJ,118.3,26.08333,1646,5.78,2075.31,607.61,22164.46,575.7,567.52
江西省,Jiangxi,JX,115.9,28.68333,2518,9.76,5488.36,2029.24,36424.13,497.45,201.05
山东省,Shandong,SD,117.000923,36.675807,4894,16.9,10909.98,4442.7,161151.11,2463.01,753.59
河南省,Henan,HA,113.65,34.76667,5910,12.14,14235.7,5506.87,77965.16,2161.78,53.77
湖北省,Hubei,HB,114.298572,30.584355,3089,13.89,7328.5,2291.05,43820.04,721.4,333.89
湖南省,Hunan,HN,113.0,28.21667,3639,11.54,7852.21,2928.83,36895.78,690.47,188.06
广东省,Guangdong,GD,113.23333,23.16667,3708,10.37,4277.45,1261.99,116417.95,1098.66,702.6
广西壮族自治区,Guangxi,GX,108.320004,22.82402,2952,6.22,5964.99,1432.79,75189.49,984.07,262.28
海南省,Hainan,HI,110.35,20.01667,440,4.68,800.44,176.26,12295.27,349.12,145.49
重庆市,Chongqing,CQ,106.45,29.56667,1384,2.2,3110.74,1083.78,16914.51,198.77,20.39
四川省,Sichuan,SC,104.06667,30.66667,5017,6.19,9157.82,3120.4,54565.33,679.12,100.13
贵州省,Guizhou,GZ,106.71667,26.56667,2480,1.25,4802.59,1118.38,8705.9,114.75,8.03
云南省,Yunnan,YN,102.73333,25.05,3017,4.26,6381.56,1528.19,18487.56,349.24,27.12
西藏自治区,Tibet,XZ,91.0,30.6,230,0.09,214.62,82.22,103.7,1.24,0.05
陕西省,Shaanxi,SN,108.95,34.26667,2106,1.31,4207.83,1149.06,4792.5,1325.48,5.6
甘肃省,Gansu,GS,103.73333,36.03333,1664,3.99,3693.94,893.15,3654.92,355.52,1.19
青海省,Qinghai,QH,96.75,36.56667,324,0.2,514.06,102.88,343.19,3.33,0.14
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,337,0.24,1205.32,340.61,1275.52,180.34,8.18
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1298,1.81,4036.09,1292.27,5066.99,811.9,9.5
