City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,260,0.37,292.91,102.07,12946.73,124.89,6.03
天津市,Tianjin,TJ,117.2,39.13333,264,0.35,429.67,147.41,5641.38,61.0,31.15
河北省,Hebei,HE,115.48333,38.03333,4148,8.35,8158.13,2897.31,52201.62,1424.77,90.64
山西省,Shanxi,SX,112.53333,37.86667,1899,2.32,3482.17,1009.33,3058.42,374.29,2.96
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,1211,1.75,6534.52,1764.4,8773.9,178.47,9.36
辽宁省,Liaoning,LN,123.38333,41.8,1754,5.03,3736.4,1843.95,61383.14,519.69,361.27
吉林省,Jilin,JL,125.35,43.88333,1279,3.77,5035.99,2437.99,45678.17,217.38,15.16
黑龙江省,Heilongjiang,HL,127.63333,47.75,1763,8.17,12270.97,3880.98,16078.86,270.11,34.25
上海市,Shanghai,SH,121.55333,31.2,233,0.81,399.22,115.33,4504.24,111.52,32.0
江苏省,Jiangsu,JS,119.78333,32.05,3614,9.68,7256.01,3122.27,64635.6,642.68,408.99
浙江省,Zhejiang,ZJ,120.2,30.26667,2206,6.49,2514.32,723.48,22251.97,701.49,415.13
安徽省,Anhui,AH,117.283042,31.86119,3750,9.91,8959.1,2973.96,56180.27,744.95,166.45
福建省,Fujian,FJ,118.3,26.08333,1755,5.7,2202.87,615.66,18489.63,571.89,532.0
江西省,Jiangxi,JX,115.9,28.68333,2630,8.88,5343.79,1912.41,34389.51,374.11,180.66
山东省,Shandong,SD,117.000923,36.675807,4988,16.57,10838.37,4112.85,140913.62,2447.98,712.77
河南省,Henan,HA,113.65,34.76667,6146,11.8,14308.5,5252.92,67873.71,2066.83,45.68
湖北省,Hubei,HB,114.298572,30.584355,3174,13.56,6993.07,2139.07,36092.89,652.43,298.04
湖南省,Hunan,HN,113.0,28.21667,3784,10.91,7397.01,2698.46,32806.65,622.44,170.09
广东省,Guangdong,GD,113.23333,23.16667,3560,9.92,4296.34,1267.03,103118.35,1038.6,664.34
广西壮族自治区,Guangxi,GX,108.320004,22.82402,3040,6.0,5727.94,1386.78,65226.48,853.67,246.06
海南省,Hainan,HI,110.35,20.01667,446,2.49,757.71,174.62,10029.39,306.46,132.27
重庆市,Chongqing,CQ,106.45,29.56667,1456,2.04,3104.94,1064.06,12750.11,161.06,18.53
四川省,Sichuan,SC,104.06667,30.66667,5234,6.03,9252.44,3032.75,51370.1,580.05,91.05
贵州省,Guizhou,GZ,106.71667,26.56667,2606,1.07,4535.35,1052.84,7044.95,111.19,7.68
云南省,Yunnan,YN,102.73333,25.05,3088,3.52,5968.1,1453.65,15042.54,253.69,23.66
西藏自治区,Tibet,XZ,91.0,30.6,227,0.1,213.14,93.86,114.23,1.09,0.05
陕西省,Shaanxi,SN,108.95,34.26667,2202,1.07,4164.06,1071.98,5150.51,1112.81,5.03
甘肃省,Gansu,GS,103.73333,36.03333,1726,3.53,3672.25,801.59,3354.84,278.21,1.14
青海省,Qinghai,QH,96.75,36.56667,331,0.19,483.37,89.18,219.78,3.29,0.15
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,342,0.22,1193.77,323.49,1170.87,148.02,7.04
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1275,1.66,3487.64,852.21,4727.3,704.27,8.77
