City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,29883.0,2194,4676.68,57230,9976,125.13,43.8
天津市,Tianjin,TJ,117.2,39.13333,12450.6,1410,1611.96,37022,5539,58.51,12.1
河北省,Hebei,HE,115.48333,38.03333,30640.8,7409,2199.35,21484,80912,159.38,26.8
山西省,Shanxi,SX,112.53333,37.86667,14484.3,3510,1397.43,20420,42490,85.34,20.5
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,14898.1,2433,1286.91,26212,24218,76.01,22.1
辽宁省,Liaoning,LN,123.38333,41.8,21693.0,4312,1812.42,27835,35767,96.52,39.2
吉林省,Jilin,JL,125.35,43.88333,10922.0,2526,854.03,21368,20828,65.87,41.5
黑龙江省,Heilongjiang,HL,127.63333,47.75,12313.0,3399,901.91,21206,20283,75.45,43.8
上海市,Shanghai,SH,121.55333,31.2,32925.0,2466,5865.51,58988,5144,121.05,14.0
江苏省,Jiangsu,JS,119.78333,32.05,85869.8,8423,6484.33,35024,32037,259.61,15.2
浙江省,Zhejiang,ZJ,120.2,30.26667,52403.1,6170,4940.74,42046,31979,213.28,59.4
安徽省,Anhui,AH,117.283042,31.86119,29676.2,6057,1970.68,21863,24491,137.52,28.7
福建省,Fujian,FJ,118.3,26.08333,33842.4,4065,2052.64,30048,27217,113.91,66.8
江西省,Jiangxi,JX,115.9,28.68333,20210.8,4511,1515.01,22031,37791,117.18,61.2
山东省,Shandong,SD,117.000923,36.675807,63012.1,10033,4419.4,26930,79050,239.46,17.5
河南省,Henan,HA,113.65,34.76667,44824.9,9829,2329.31,20170,71089,215.47,24.1
湖北省,Hubei,HB,114.298572,30.584355,37235.0,5904,2247.82,23757,36357,138.22,39.6
湖南省,Hunan,HN,113.0,28.21667,33828.1,6633,1759.13,23103,58624,151.66,49.7
广东省,Guangdong,GD,113.23333,23.16667,91648.7,12141,8871.89,33003,49874,386.1,53.5
广西壮族自治区,Guangxi,GX,108.320004,22.82402,17790.7,4907,1057.69,19905,34008,118.92,60.2
海南省,Hainan,HI,110.35,20.01667,4497.5,972,543.56,22553,5180,33.9,57.4
重庆市,Chongqing,CQ,106.45,29.56667,20066.3,3144,1476.33,24153,19682,94.84,43.1
四川省,Sichuan,SC,104.06667,30.66667,37905.1,8289,2430.32,20580,80481,192.75,38.0
贵州省,Guizhou,GZ,106.71667,26.56667,13605.4,3803,1179.73,16704,28034,124.88,43.8
云南省,Yunnan,YN,102.73333,25.05,18486.0,4693,1233.85,18348,24684,132.92,55.0
西藏自治区,Tibet,XZ,91.0,30.6,1349.0,349,122.7,15457,6826,23.88,12.1
陕西省,Shaanxi,SN,108.95,34.26667,21473.5,3904,1485.58,20635,35861,105.46,43.1
甘肃省,Gansu,GS,103.73333,36.03333,7336.7,2522,547.14,16011,28857,70.88,11.3
青海省,Qinghai,QH,96.75,36.56667,2465.1,586,183.96,19001,6375,23.43,5.8
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,3200.3,705,270.3,20562,4271,22.88,12.6
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,11159.9,2480,944.38,19975,18724,84.62,4.9
