city,city_en,province,province_en,Longtitude,Latitude,PM2.5,PM10,SO2,NO2,CO,O3,AQI
北京,Bei_jing,北京市,Beijing,116.413384,39.910925,37.959,56.953,3.668,29.334,95.633,109.444,63.685
天津,Tian_jin,天津市,Tianjin,117.209523,39.093668,48.121,69.107,8.595,39.252,101.192,117.773,75.661
石家庄,Shi_jia_zhuang,河北省,Hebei,114.521532,38.048312,58.299,103.696,12.405,40.805,100.236,115.249,90.073
唐山,Tang_shan,河北省,Hebei,118.186459,39.636584,49.025,89.241,18.203,46.077,99.09,116.682,77.734
秦皇岛,Qin_huang_dao,河北省,Hebei,119.608531,39.941748,34.627,63.556,14.712,34.123,99.277,111.907,59.617
邯郸,Han_dan,河北省,Hebei,114.545628,36.631263,57.197,104.306,14.631,35.005,106.303,120.664,89.292
保定,Bao_ding,河北省,Hebei,115.471464,38.879988,50.325,86.981,11.18,36.568,98.738,112.94,78.968
张家口,Zhang_jia_kou,河北省,Hebei,114.892572,40.773237,24.466,54.575,11.373,19.323,99.674,109.608,51.008
承德,Cheng_de,河北省,Hebei,117.969398,40.957856,27.486,56.0,12.175,31.32,93.593,107.019,52.643
廊坊,Lang_fang,河北省,Hebei,116.690582,39.543367,42.4,77.096,8.197,36.427,101.97,117.082,70.417
沧州,Cang_zhou,河北省,Hebei,116.845581,38.310215,47.063,82.276,11.071,32.295,107.574,122.24,75.156
衡水,Heng_shui,河北省,Hebei,115.675406,37.745191,51.679,84.06,12.351,30.945,108.929,123.173,80.039
邢台,Xing_tai,河北省,Hebei,114.511462,37.076686,53.225,93.71,14.781,37.247,104.827,120.759,84.403
太原,Tai_yuan,山西省,Shanxi,112.556391,37.876989,54.307,98.126,17.356,45.479,104.63,124.285,86.053
呼和浩特,Hu_he_hao_te,内蒙古自治区,Inner_Mongoria,111.755509,40.848423,41.518,78.74,12.597,32.129,92.332,104.501,71.983
沈阳,Shen_yang,辽宁省,Liaoning,123.466452,41.68879,41.942,74.595,18.411,35.101,90.389,103.575,68.338
大连,Da_lian,辽宁省,Liaoning,121.621631,38.918954,30.09,50.71,10.53,25.21,96.904,108.03,50.563
长春,Chang_chun,吉林省,Jilin,125.330602,43.821954,42.046,61.358,9.91,31.702,80.943,91.973,65.248
哈尔滨,Ha_er_bin,黑龙江省,Heilongjiang,126.541615,45.808826,46.836,64.581,17.414,32.06,81.178,92.258,68.531
上海,Shang_hai,上海市,Shanghai,121.480539,31.235929,31.74,41.257,6.391,37.063,98.82,112.577,50.772
南京,Nan_jing,江苏省,Jiangsu,118.802422,32.064653,31.303,56.221,6.929,35.779,104.148,119.951,54.796
苏州,Su_zhou,江苏省,Jiangsu,120.592412,31.303564,33.191,48.12,5.607,33.672,104.036,120.079,54.026
南通,Nan_tong,江苏省,Jiangsu,120.901592,31.986549,34.716,46.669,8.735,27.172,99.03,114.74,54.549
连云港,Lian_yun_gang,江苏省,Jiangsu,119.228621,34.60225,37.17,55.838,10.26,28.468,103.849,117.526,60.399
徐州,Xu_zhou,江苏省,Jiangsu,117.290575,34.212667,50.101,85.904,10.244,34.767,102.537,116.984,77.212
扬州,Yang_zhou,江苏省,Jiangsu,119.419419,32.400677,36.715,63.164,8.036,31.688,102.068,116.359,62.36
