City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,24779.1,2188,4263.91,48458,9771,111.71,43.8
天津市,Tianjin,TJ,117.2,39.13333,10879.5,1439,1578.07,31291,5223,56.06,12.1
河北省,Hebei,HE,115.48333,38.03333,26398.4,7345,1934.29,18118,78594,128.62,26.8
山西省,Shanxi,SX,112.53333,37.86667,11836.4,3519,1056.6,17854,41002,84.42,20.5
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,12949.0,2440,1320.75,22310,23886,70.72,22.1
辽宁省,Liaoning,LN,123.38333,41.8,20210.3,4338,1650.45,24576,35236,87.81,39.2
吉林省,Jilin,JL,125.35,43.88333,10018.0,2613,867.12,18684,20612,59.75,41.5
黑龙江省,Heilongjiang,HL,127.63333,47.75,11690.0,3529,880.34,18593,20752,70.4,43.8
上海市,Shanghai,SH,121.55333,31.2,26887.0,2458,4858.16,49867,5016,101.31,14.0
江苏省,Jiangsu,JS,119.78333,32.05,71255.9,8315,6610.12,29539,31925,224.64,15.2
浙江省,Zhejiang,ZJ,120.2,30.26667,43507.7,5985,4168.22,35537,31137,175.68,59.4
安徽省,Anhui,AH,117.283042,31.86119,23831.2,6011,1799.89,18363,24853,115.78,28.7
福建省,Fujian,FJ,118.3,26.08333,26819.5,3984,1938.71,25404,27921,100.28,66.8
江西省,Jiangxi,JX,115.9,28.68333,16780.9,4485,1517.03,18437,38557,97.33,61.2
山东省,Shandong,SD,117.000923,36.675807,55288.8,9866,4203.12,22703,77259,206.32,17.5
河南省,Henan,HA,113.65,34.76667,37084.1,9701,2101.17,17125,71394,174.11,24.1
湖北省,Hubei,HB,114.298572,30.584355,30344.0,5850,2086.5,20026,36179,114.35,39.6
湖南省,Hunan,HN,113.0,28.21667,28538.6,6615,1527.52,19317,62646,122.23,49.7
广东省,Guangdong,GD,113.23333,23.16667,74732.4,11678,7377.07,27859,48320,304.75,53.5
广西壮族自治区,Guangxi,GX,108.320004,22.82402,14797.8,4811,1031.65,16873,34439,101.12,60.2
海南省,Hainan,HI,110.35,20.01667,3734.2,945,514.31,18979,5046,28.1,57.4
重庆市,Chongqing,CQ,106.45,29.56667,16040.5,3070,1450.93,20110,19806,79.71,43.1
四川省,Sichuan,SC,104.06667,30.66667,30342.0,8196,2353.51,17221,80109,164.1,38.0
贵州省,Guizhou,GZ,106.71667,26.56667,10541.0,3708,1126.03,13697,28712,92.77,43.8
云南省,Yunnan,YN,102.73333,25.05,14960.0,4663,1210.54,15223,24181,104.55,55.0
西藏自治区,Tibet,XZ,91.0,30.6,1043.0,330,92.0,12254,6814,19.19,12.1
陕西省,Shaanxi,SN,108.95,34.26667,17898.8,3846,1290.33,17395,37030,96.74,43.1
甘肃省,Gansu,GS,103.73333,36.03333,6556.6,2523,529.79,13467,27799,61.35,11.3
青海省,Qinghai,QH,96.75,36.56667,2011.0,577,205.81,15813,6223,20.74,5.8
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,2579.4,684,256.31,17329,4288,19.63,12.6
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,9306.9,2385,861.73,16859,18798,71.33,4.9
