City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,6252.5,1493,,,4835,44.93,31.7
天津市,Tianjin,TJ,117.2,39.13333,2621.1,1024,201.64,,2560,12.4,8.2
河北省,Hebei,HE,115.48333,38.03333,7588.6,6809,,,17760,27.01,22.3
山西省,Shanxi,SX,112.53333,37.86667,3496.0,3335,170.71,,9510,15.49,14.1
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,2942.4,2393,,,7416,11.15,20.0
辽宁省,Liaoning,LN,123.38333,41.8,6469.8,4217,411.5,,14230,27.01,35.1
吉林省,Jilin,JL,125.35,43.88333,2455.2,2709,130.51,,8219,14.54,38.9
黑龙江省,Heilongjiang,HL,127.63333,47.75,4134.7,3817,,,8230,21.19,42.4
上海市,Shanghai,SH,121.55333,31.2,8101.6,1835,842.74,,2551,38.33,9.4
江苏省,Jiangsu,JS,119.78333,32.05,14823.1,7523,833.71,,13400,55.7,10.5
浙江省,Zhejiang,ZJ,120.2,30.26667,11482.1,4925,,,11937,50.02,57.4
安徽省,Anhui,AH,117.283042,31.86119,5129.1,6228,204.83,,8973,22.16,26.1
福建省,Fujian,FJ,118.3,26.08333,5712.1,3529,,,8672,22.25,63.1
江西省,Jiangxi,JX,115.9,28.68333,3398.1,4284,,,12080,15.66,58.3
山东省,Shandong,SD,117.000923,36.675807,13308.1,9180,627.43,,16526,42.67,16.7
河南省,Henan,HA,113.65,34.76667,8411.2,9717,307.12,,13821,29.99,20.2
湖北省,Hubei,HB,114.298572,30.584355,5546.8,5698,,,9909,29.86,31.1
湖南省,Hunan,HN,113.0,28.21667,5542.6,6698,218.7,,14885,27.24,44.8
广东省,Guangdong,GD,113.23333,23.16667,18658.3,9111,1191.55,,15744,70.87,49.4
广西壮族自治区,Guangxi,GX,108.320004,22.82402,3305.1,4889,,,9034,16.06,52.7
海南省,Hainan,HI,110.35,20.01667,802.7,818,44.67,,2515,3.89,52.0
重庆市,Chongqing,CQ,106.45,29.56667,3059.5,2793,,,6539,14.34,34.9
四川省,Sichuan,SC,104.06667,30.66667,6304.0,8090,303.55,,24605,30.91,34.3
贵州省,Guizhou,GZ,106.71667,26.56667,1649.4,3904,,,6664,11.42,31.6
云南省,Yunnan,YN,102.73333,25.05,3136.4,4415,209.36,,9436,17.51,47.5
西藏自治区,Tibet,XZ,91.0,30.6,217.9,276,7.19,,1326,2.35,11.9
陕西省,Shaanxi,SN,108.95,34.26667,3141.6,3681,,,11703,20.47,37.3
甘肃省,Gansu,GS,103.73333,36.03333,1653.6,2541,,,11404,10.31,10.4
青海省,Qinghai,QH,96.75,36.56667,443.7,539,20.52,,1439,2.25,4.6
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,519.9,588,,,1483,2.96,9.8
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,2170.4,1963,123.19,,9086,13.32,4.0
