City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,10425.5,1676,1435.67,21458,6210,40.77,31.7
天津市,Tianjin,TJ,117.2,39.13333,4158.4,1115,438.36,13116,2334,16.57,8.2
河北省,Hebei,HE,115.48333,38.03333,12152.9,6943,618.3,7233,19425,44.04,22.3
山西省,Shanxi,SX,112.53333,37.86667,5935.6,3393,430.5,7282,9780,26.5,14.1
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,5166.9,2429,347.91,8340,9076,20.2,20.0
辽宁省,Liaoning,LN,123.38333,41.8,10292.2,4298,815.67,9421,14819,41.22,35.1
吉林省,Jilin,JL,125.35,43.88333,4080.3,2730,237.39,7791,9683,21.33,38.9
黑龙江省,Heilongjiang,HL,127.63333,47.75,6126.3,3824,334.97,7656,8464,27.37,42.4
上海市,Shanghai,SH,121.55333,31.2,12878.7,2064,1975.48,22459,2678,43.18,9.4
江苏省,Jiangsu,JS,119.78333,32.05,25988.4,7723,1894.77,11574,19116,85.13,10.5
浙江省,Zhejiang,ZJ,120.2,30.26667,18640.0,5155,1535.35,15351,15669,70.59,57.4
安徽省,Anhui,AH,117.283042,31.86119,7941.6,6118,401.88,6724,8502,34.51,26.1
福建省,Fujian,FJ,118.3,26.08333,9325.6,3612,594.02,10138,4556,33.22,63.1
江西省,Jiangxi,JX,115.9,28.68333,5777.6,4368,281.86,7097,9456,28.5,58.3
山东省,Shandong,SD,117.000923,36.675807,22718.1,9367,1308.35,9085,15270,68.02,16.7
河南省,Henan,HA,113.65,34.76667,14824.5,9360,625.02,6493,11888,54.94,20.2
湖北省,Hubei,HB,114.298572,30.584355,9451.4,5699,433.98,7430,11093,36.89,31.1
湖南省,Hunan,HN,113.0,28.21667,9285.5,6355,410.66,7587,14521,41.96,44.8
广东省,Guangdong,GD,113.23333,23.16667,31742.6,9660,2415.47,12238,16488,107.35,49.4
广西壮族自治区,Guangxi,GX,108.320004,22.82402,5474.8,4768,282.68,6614,10060,27.59,52.7
海南省,Hainan,HI,110.35,20.01667,1234.0,845,87.99,7186,2330,7.58,52.0
重庆市,Chongqing,CQ,106.45,29.56667,4770.7,2816,294.46,7520,6293,23.1,34.9
四川省,Sichuan,SC,104.06667,30.66667,10562.1,8127,628.95,6322,21380,50.1,34.3
贵州省,Guizhou,GZ,106.71667,26.56667,2847.5,3632,211.85,4817,5956,20.7,31.6
云南省,Yunnan,YN,102.73333,25.05,5077.4,4514,378.64,5469,9693,27.58,47.5
西藏自治区,Tibet,XZ,91.0,30.6,344.1,289,11.67,4609,1322,4.21,11.9
陕西省,Shaanxi,SN,108.95,34.26667,5681.8,3708,355.5,5974,9708,28.55,37.3
甘肃省,Gansu,GS,103.73333,36.03333,2675.1,2548,142.05,5037,12024,16.73,10.4
青海省,Qinghai,QH,96.75,36.56667,720.1,552,43.29,5916,1619,4.58,4.6
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,877.6,610,58.79,6630,1530,6.37,9.8
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,3500.0,2095,220.65,6273,7465,19.17,4.0
