City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,4525.7,1423,539.87,,4998,35.39,
天津市,Tianjin,TJ,117.2,39.13333,1926.9,1007,154.81,,2641,9.76,
河北省,Hebei,HE,115.48333,38.03333,5518.9,6735,202.75,,18701,21.01,
山西省,Shanxi,SX,112.53333,37.86667,2324.8,3294,112.2,,9603,11.77,
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,1940.9,2384,162.48,,6574,8.55,
辽宁省,Liaoning,LN,123.38333,41.8,5458.2,4203,333.0,,13162,19.44,
吉林省,Jilin,JL,125.35,43.88333,2043.1,2699,111.97,,7556,12.26,
黑龙江省,Heilongjiang,HL,127.63333,47.75,3242.7,3813,,,8755,15.88,
上海市,Shanghai,SH,121.55333,31.2,5795.0,1713,554.7,,2308,27.4,
江苏省,Jiangsu,JS,119.78333,32.05,10606.9,7406,565.3,,12367,40.44,
浙江省,Zhejiang,ZJ,120.2,30.26667,8040.7,4776,,,10708,33.96,
安徽省,Anhui,AH,117.283042,31.86119,3827.7,6144,162.0,,8827,16.4,
福建省,Fujian,FJ,118.3,26.08333,4467.6,3476,,,16941,17.79,
江西省,Jiangxi,JX,115.9,28.68333,2450.5,4222,187.04,,11286,11.7,
山东省,Shandong,SD,117.000923,36.675807,10076.5,9082,495.03,,16571,33.39,
河南省,Henan,HA,113.65,34.76667,6035.5,9613,242.24,,13291,22.88,
湖北省,Hubei,HB,114.298572,30.584355,4212.8,5672,191.01,,10192,23.02,
湖南省,Hunan,HN,113.0,28.21667,4151.5,6629,148.61,,15149,21.05,
广东省,Guangdong,GD,113.23333,23.16667,13601.9,8842,1032.33,,15501,52.03,
广西壮族自治区,Guangxi,GX,108.320004,22.82402,2523.7,4822,131.27,,10107,13.46,
海南省,Hainan,HI,110.35,20.01667,642.7,803,36.38,,2840,2.97,
重庆市,Chongqing,CQ,106.45,29.56667,2279.8,2814,101.63,,5948,10.67,
四川省,Sichuan,SC,104.06667,30.66667,4725.0,8110,230.26,,28204,24.37,
贵州省,Guizhou,GZ,106.71667,26.56667,1243.4,3837,89.22,,7022,8.68,
云南省,Yunnan,YN,102.73333,25.05,2358.7,4333,173.36,,8798,12.95,
西藏自治区,Tibet,XZ,91.0,30.6,162.0,268,5.81,,1348,1.41,
陕西省,Shaanxi,SN,108.95,34.26667,2253.4,3662,96.62,,12462,15.98,
甘肃省,Gansu,GS,103.73333,36.03333,1232.0,2531,65.43,,11062,8.36,
青海省,Qinghai,QH,96.75,36.56667,340.7,529,15.82,,1450,1.9,
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,377.2,572,21.93,,1370,2.3,
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1612.6,1905,93.58,,10296,10.82,
