city,city_en,province,province_en,Longtitude,Latitude,PM2.5,PM10,SO2,NO2,CO,O3,AQI
北京,Bei_jing,北京市,Beijing,116.413384,39.910925,50.831,83.823,6.057,40.943,101.457,118.243,82.025
天津,Tian_jin,天津市,Tianjin,117.209523,39.093668,51.666,88.481,11.68,45.118,107.233,126.761,83.779
石家庄,Shi_jia_zhuang,河北省,Hebei,114.521532,38.048312,72.695,135.767,21.943,47.468,109.448,126.922,108.48
唐山,Tang_shan,河北省,Hebei,118.186459,39.636584,60.734,113.544,33.794,54.794,102.888,123.696,92.471
秦皇岛,Qin_huang_dao,河北省,Hebei,119.608531,39.941748,38.484,78.539,19.997,43.418,95.977,109.911,67.43
邯郸,Han_dan,河北省,Hebei,114.545628,36.631263,69.445,135.244,21.126,40.721,116.02,131.98,107.384
保定,Bao_ding,河北省,Hebei,115.471464,38.879988,67.112,116.364,20.61,45.201,115.218,133.986,99.48
张家口,Zhang_jia_kou,河北省,Hebei,114.892572,40.773237,31.041,87.113,13.843,23.07,109.426,122.029,66.925
承德,Cheng_de,河北省,Hebei,117.969398,40.957856,32.559,84.533,13.324,33.155,99.404,115.083,67.392
廊坊,Lang_fang,河北省,Hebei,116.690582,39.543367,51.974,99.726,10.781,45.141,101.588,118.245,83.164
沧州,Cang_zhou,河北省,Hebei,116.845581,38.310215,58.945,104.305,23.402,41.471,115.879,132.207,89.699
衡水,Heng_shui,河北省,Hebei,115.675406,37.745191,60.671,104.928,13.899,33.133,113.061,128.277,91.889
邢台,Xing_tai,河北省,Hebei,114.511462,37.076686,69.55,135.304,25.367,47.905,113.006,131.702,107.853
太原,Tai_yuan,山西省,Shanxi,112.556391,37.876989,58.38,135.052,28.657,49.939,103.758,124.876,101.139
呼和浩特,Hu_he_hao_te,内蒙古自治区,Inner_Mongoria,111.755509,40.848423,36.183,97.046,18.587,38.903,94.289,106.848,74.035
沈阳,Shen_yang,辽宁省,Liaoning,123.466452,41.68879,41.075,74.484,25.741,38.245,92.161,106.291,67.295
大连,Da_lian,辽宁省,Liaoning,121.621631,38.918954,30.089,55.754,11.782,26.186,102.467,115.244,52.816
长春,Chang_chun,吉林省,Jilin,125.330602,43.821954,33.464,64.112,15.742,34.774,82.117,93.607,58.864
哈尔滨,Ha_er_bin,黑龙江省,Heilongjiang,126.541615,45.808826,39.155,64.817,19.673,36.063,83.08,95.61,63.795
上海,Shang_hai,上海市,Shanghai,121.480539,31.235929,35.544,52.954,9.914,41.095,103.476,118.585,56.684
南京,Nan_jing,江苏省,Jiangsu,118.802422,32.064653,42.862,77.433,10.252,42.292,105.556,123.304,69.723
苏州,Su_zhou,江苏省,Jiangsu,120.592412,31.303564,41.461,68.095,8.226,46.189,98.911,116.61,65.522
南通,Nan_tong,江苏省,Jiangsu,120.901592,31.986549,40.94,65.029,16.355,35.089,103.092,120.55,63.829
连云港,Lian_yun_gang,江苏省,Jiangsu,119.228621,34.60225,44.236,70.793,15.02,30.455,104.565,118.239,68.41
徐州,Xu_zhou,江苏省,Jiangsu,117.290575,34.212667,65.559,108.052,16.467,40.124,108.741,124.236,96.599
扬州,Yang_zhou,江苏省,Jiangsu,119.419419,32.400677,49.393,86.723,12.512,36.737,109.899,126.532,77.1
无锡,Wu_xi,江苏省,Jiangsu,120.318583,31.49881,42.819,76.742,11.885,41.891,102.774,121.129,68.003
常州,Chang_zhou,江苏省,Jiangsu,119.981485,31.815796,52.773,77.902,14.44,47.701,112.02,130.152,76.352
镇江,Zhen_jiang,江苏省,Jiangsu,119.430489,32.194716,54.117,76.582,9.587,36.923,107.232,124.977,79.39
泰州,Tai_zhou,江苏省,Jiangsu,119.929566,32.460675,48.478,77.467,9.974,31.251,107.793,123.778,72.779
淮安,Huai_an,江苏省,Jiangsu,119.021484,33.616295,50.731,85.989,10.209,30.129,107.53,121.57,77.925
盐城,Yan_cheng,江苏省,Jiangsu,120.167544,33.355101,43.555,76.032,9.39,26.292,109.621,123.049,69.043
宿迁,Su_qian,江苏省,Jiangsu,118.281574,33.96775,53.415,80.084,10.738,30.153,108.908,123.127,78.931
杭州,Hang_zhou,浙江省,Zhejiang,120.215512,30.253083,39.43,67.547,9.481,42.026,99.166,118.648,61.631
宁波,Ning_bo,浙江省,Zhejiang,121.628572,29.866033,32.33,51.825,8.811,34.249,93.613,110.229,50.826
温州,Wen_zhou,浙江省,Zhejiang,120.706477,28.001085,30.897,57.782,8.556,35.885,88.705,108.513,51.474
