city,city_en,province,province_en,Longtitude,Latitude,PM2.5,PM10,SO2,NO2,CO,O3,AQI
周口,Zhou_kou,河南省,Henan,114.703483,33.631829,82.441,126.037,19.317,23.841,79.213,87.646,112.225
晋城,Jin_cheng,山西省,Shanxi,112.858578,35.496285,56.401,111.072,55.867,35.807,59.009,66.674,88.718
朔州,Shuo_zhou,山西省,Shanxi,112.439371,39.337108,52.063,90.934,76.3,34.905,113.337,124.611,83.679
晋中,Jin_zhong,山西省,Shanxi,112.759595,37.692839,56.744,98.914,73.314,30.666,68.841,81.161,86.65
运城,Yun_cheng,山西省,Shanxi,111.013389,35.032707,65.761,102.997,54.458,30.674,91.98,102.349,91.649
忻州,Xin_zhou,山西省,Shanxi,112.740624,38.422383,60.487,90.816,55.68,32.251,85.012,96.784,86.925
吕梁,Lv_liang,山西省,Shanxi,111.15045,37.524498,48.421,78.729,63.274,24.937,64.717,73.928,73.692
乌海,Wu_hai,内蒙古自治区,Inner_Mongoria,106.800391,39.662006,54.916,130.723,61.692,26.971,95.79,106.816,97.218
通辽,Tong_liao,内蒙古自治区,Inner_Mongoria,122.250522,43.65798,53.282,98.346,18.0,23.637,96.504,106.45,84.927
呼伦贝尔,Hu_lun_bei_er,内蒙古自治区,Inner_Mongoria,119.77237,49.218446,36.246,69.255,11.315,23.074,68.246,77.228,61.655
巴彦淖尔,Ba_yan_nao_er,内蒙古自治区,Inner_Mongoria,107.394398,40.749359,46.625,96.323,35.063,26.331,96.882,106.706,79.343
乌兰察布,Wu_lan_cha_bu,内蒙古自治区,Inner_Mongoria,113.139468,41.000748,45.896,78.395,25.611,31.363,103.014,122.55,74.286
兴安盟,Xing_an_meng,内蒙古自治区,Inner_Mongoria,122.044365,46.088464,36.571,65.533,12.568,18.084,83.167,93.66,61.606
锡林郭勒盟,Xi_lin_guo_lei_meng,内蒙古自治区,Inner_Mongoria,116.054391,43.939423,17.971,53.974,20.714,10.145,60.289,66.133,46.955
阿拉善盟,A_la_shan_meng,内蒙古自治区,Inner_Mongoria,105.735377,38.858276,37.133,86.597,9.85,12.991,108.813,116.274,70.372
阜新,Fu_xin,辽宁省,Liaoning,121.676408,42.028022,49.193,99.245,51.89,29.951,78.769,85.914,81.41
辽阳,Liao_yang,辽宁省,Liaoning,123.243366,41.274161,60.052,101.81,33.643,31.507,86.164,99.176,88.943
铁岭,Tie_ling,辽宁省,Liaoning,123.732365,42.229948,56.323,94.62,26.334,31.836,87.078,98.447,85.009
朝阳,Zhao_yang,辽宁省,Liaoning,120.457499,41.579821,43.571,81.876,32.294,19.648,55.277,61.481,73.229
四平,Si_ping,吉林省,Jilin,124.356482,43.171994,61.64,99.133,27.098,35.605,91.96,102.403,92.929
辽源,Liao_yuan,吉林省,Jilin,125.150425,42.894055,56.966,74.954,31.795,28.45,81.899,92.514,78.009
通化,Tong_hua,吉林省,Jilin,125.946606,41.733816,51.02,89.643,39.383,36.043,85.141,99.176,77.3
白山,Bai_shan,吉林省,Jilin,126.42963,41.939627,53.977,86.821,26.379,28.384,81.818,94.121,78.772
松原,Song_yuan,吉林省,Jilin,124.831482,45.147404,48.052,83.637,21.265,28.677,81.674,91.646,73.925
白城,Bai_cheng,吉林省,Jilin,122.845591,45.625504,59.378,87.994,19.79,19.144,79.625,89.542,85.071
延边州,Yan_bian,吉林省,Jilin,129.477376,42.915743,37.092,55.133,18.375,23.729,80.435,92.686,58.789
鸡西,Ji_xi,黑龙江省,Heilongjiang,130.975619,45.300872,28.968,61.277,25.092,22.637,65.519,76.784,53.495
鹤岗,He_gang,黑龙江省,Heilongjiang,130.304433,47.356056,47.646,79.061,10.674,17.21,80.677,90.144,71.133
双鸭山,Shuang_ya_shan,黑龙江省,Heilongjiang,131.165342,46.653186,42.945,71.599,19.873,24.821,63.896,72.207,65.662
伊春,Yi_chun,黑龙江省,Heilongjiang,128.847546,47.733318,29.896,54.189,9.974,20.358,67.951,78.156,51.788
佳木斯,Jia_mu_si,黑龙江省,Heilongjiang,130.327359,46.80569,31.516,55.19,12.758,23.219,78.764,93.793,51.114
七台河,Qi_tai_he,黑龙江省,Heilongjiang,131.011545,45.7763,50.059,79.31,14.701,18.249,67.92,89.456,76.001
