City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,283,0.26,103.79,34.14,1615.62,61.46,3.0
天津市,Tianjin,TJ,117.2,39.13333,222,0.22,429.27,209.69,5435.66,62.47,32.64
河北省,Hebei,HE,115.48333,38.03333,3169,6.15,8197.13,3700.86,59728.22,1347.93,109.62
山西省,Shanxi,SX,112.53333,37.86667,1406,2.65,3555.16,1380.4,11968.54,750.55,4.78
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,835,2.96,8824.07,3553.28,10069.5,264.18,13.95
辽宁省,Liaoning,LN,123.38333,41.8,1276,5.51,4207.11,2192.45,76271.3,788.87,450.82
吉林省,Jilin,JL,125.35,43.88333,972,5.1,6080.89,3632.74,45062.26,148.14,23.41
黑龙江省,Heilongjiang,HL,127.63333,47.75,1216,7.42,14673.33,7506.8,24632.78,170.82,62.43
上海市,Shanghai,SH,121.55333,31.2,269,0.32,282.27,103.74,983.95,54.31,26.25
江苏省,Jiangsu,JS,119.78333,32.05,2433,6.96,7520.23,3660.28,64200.98,934.13,494.84
浙江省,Zhejiang,ZJ,120.2,30.26667,1881,4.37,1978.68,599.14,17195.93,743.62,589.61
安徽省,Anhui,AH,117.283042,31.86119,2695,9.42,8771.11,4007.25,89360.98,643.83,224.96
福建省,Fujian,FJ,118.3,26.08333,1355,4.91,1577.31,498.58,95537.65,683.11,783.89
江西省,Jiangxi,JX,115.9,28.68333,1925,7.72,5555.81,2190.7,45423.54,684.37,255.95
山东省,Shandong,SD,117.000923,36.675807,3884,12.99,11076.8,5319.51,216869.94,2788.79,861.4
河南省,Henan,HA,113.65,34.76667,4711,11.36,14783.35,6648.91,92767.28,2492.76,98.38
湖北省,Hubei,HB,114.298572,30.584355,2308,10.33,7952.9,2839.47,53244.82,997.99,458.4
湖南省,Hunan,HN,113.0,28.21667,2913,11.42,8111.09,3022.9,42476.7,1016.82,246.94
广东省,Guangdong,GD,113.23333,23.16667,3481,9.37,4279.36,1193.49,109246.84,1669.16,842.44
广西壮族自治区,Guangxi,GX,108.320004,22.82402,2383,6.97,5972.38,1372.8,84929.52,2116.56,332.0
海南省,Hainan,HI,110.35,20.01667,401,2.32,712.94,147.12,16011.48,430.41,175.82
重庆市,Chongqing,CQ,106.45,29.56667,1056,1.72,3348.49,1079.34,21349.17,431.27,52.96
四川省,Sichuan,SC,104.06667,30.66667,3869,5.13,9615.32,3493.7,66070.96,1080.67,153.48
贵州省,Guizhou,GZ,106.71667,26.56667,1929,1.11,5477.16,1059.7,11759.62,369.53,23.73
云南省,Yunnan,YN,102.73333,25.05,2472,5.26,6890.77,1860.54,26092.91,813.35,63.75
西藏自治区,Tibet,XZ,91.0,30.6,234,0.1,270.38,104.4,284.36,0.32,0.04
陕西省,Shaanxi,SN,108.95,34.26667,1586,1.26,4091.01,1226.0,5791.54,1835.08,16.3
甘肃省,Gansu,GS,103.73333,36.03333,1265,4.29,3773.55,1151.43,3645.0,609.28,1.41
青海省,Qinghai,QH,96.75,36.56667,251,0.18,557.25,103.06,494.06,3.51,1.71
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,269,0.23,1164.57,392.58,1848.65,197.21,17.69
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1159,2.37,6068.89,1504.23,8566.26,1497.85,17.43
