City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,35943.3,2189,4643.87,69434,10599,,43.8
天津市,Tianjin,TJ,117.2,39.13333,14008.0,1387,1500.14,43854,5838,,12.1
河北省,Hebei,HE,115.48333,38.03333,36013.8,7464,2527.28,27136,86939,,26.8
山西省,Shanxi,SX,112.53333,37.86667,17835.6,3490,1625.99,25214,41140,,20.5
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,17258.0,2403,1457.76,31497,24549,,22.1
辽宁省,Liaoning,LN,123.38333,41.8,25011.4,4255,1879.06,32738,34131,,39.2
吉林省,Jilin,JL,125.35,43.88333,12256.0,2399,771.95,25751,25616,,41.5
黑龙江省,Heilongjiang,HL,127.63333,47.75,13633.4,3171,811.92,24902,20461,,43.8
上海市,Shanghai,SH,121.55333,31.2,38963.3,2488,5841.88,72232,5897,,14.0
江苏省,Jiangsu,JS,119.78333,32.05,102807.7,8477,7413.86,43390,35747,,15.2
浙江省,Zhejiang,ZJ,120.2,30.26667,64689.1,6468,6261.75,52397,34400,,59.4
安徽省,Anhui,AH,117.283042,31.86119,38061.5,6105,2199.52,28103,29391,,28.7
福建省,Fujian,FJ,118.3,26.08333,43608.6,4161,2184.72,37202,28105,,66.8
江西省,Jiangxi,JX,115.9,28.68333,25782.0,4519,1701.92,28017,36716,,61.2
山东省,Shandong,SD,117.000923,36.675807,72798.2,10165,4757.62,32886,84872,,17.5
河南省,Henan,HA,113.65,34.76667,54259.4,9941,2764.73,24810,74644,,24.1
湖北省,Hubei,HB,114.298572,30.584355,43004.5,5745,1923.45,27881,35447,,39.6
湖南省,Hunan,HN,113.0,28.21667,41542.6,6645,2057.98,29380,56042,,49.7
广东省,Guangdong,GD,113.23333,23.16667,111151.6,12624,9881.95,41029,55900,,53.5
广西壮族自治区,Guangxi,GX,108.320004,22.82402,22120.9,5019,1113.22,24562,33875,,60.2
海南省,Hainan,HI,110.35,20.01667,5566.2,1012,559.82,27904,6127,,57.4
重庆市,Chongqing,CQ,106.45,29.56667,25041.4,3209,1430.72,30824,20922,,43.1
四川省,Sichuan,SC,104.06667,30.66667,48501.6,8371,2967.2,26522,82793,,38.0
贵州省,Guizhou,GZ,106.71667,26.56667,17860.4,3858,1086.04,21795,28880,,43.8
云南省,Yunnan,YN,102.73333,25.05,24555.7,4722,1453.07,23295,26626,,55.0
西藏自治区,Tibet,XZ,91.0,30.6,1902.7,366,143.24,21744,6939,,12.1
陕西省,Shaanxi,SN,108.95,34.26667,26014.1,3955,1752.14,26226,34983,,43.1
甘肃省,Gansu,GS,103.73333,36.03333,8979.7,2501,567.93,20335,26204,,11.3
青海省,Qinghai,QH,96.75,36.56667,3009.8,593,213.27,24037,6407,,5.8
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,3956.3,721,263.87,25735,4574,,12.6
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,13800.7,2590,910.19,23845,18158,,4.9
