City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,14964.0,1962,2251.59,29228,9411,61.34,35.8
天津市,Tianjin,TJ,117.2,39.13333,6830.8,1299,776.65,19266,4542,29.21,9.9
河北省,Hebei,HE,115.48333,38.03333,18003.6,7194,1074.04,10428,81403,71.93,23.4
山西省,Shanxi,SX,112.53333,37.86667,8903.9,3574,692.71,10149,41098,45.08,18.0
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,8199.9,2472,752.81,12538,22565,41.44,21.0
辽宁省,Liaoning,LN,123.38333,41.8,13896.3,4375,1516.65,13953,34805,62.43,38.2
吉林省,Jilin,JL,125.35,43.88333,6410.5,2747,439.31,10798,19385,34.46,40.4
黑龙江省,Heilongjiang,HL,127.63333,47.75,8308.3,3833,556.97,10846,22073,40.49,43.2
上海市,Shanghai,SH,121.55333,31.2,17915.4,2303,2707.8,30436,4708,55.83,10.7
江苏省,Jiangsu,JS,119.78333,32.05,41383.9,7869,3312.61,17006,30956,131.46,15.8
浙江省,Zhejiang,ZJ,120.2,30.26667,27399.9,5447,2464.96,21159,29939,106.26,59.1
安徽省,Anhui,AH,117.283042,31.86119,13249.8,5957,866.55,9955,22997,59.91,27.5
福建省,Fujian,FJ,118.3,26.08333,15002.5,3693,966.09,14566,27017,53.41,66.0
江西省,Jiangxi,JX,115.9,28.68333,9383.2,4462,585.11,10217,34068,44.95,60.0
山东省,Shandong,SD,117.000923,36.675807,33922.5,9588,2149.9,12922,66967,103.96,16.7
河南省,Henan,HA,113.65,34.76667,22655.0,9405,1016.55,9520,75741,91.11,21.5
湖北省,Hubei,HB,114.298572,30.584355,16226.9,5728,777.96,11069,34269,58.69,38.4
湖南省,Hunan,HN,113.0,28.21667,15574.3,6570,730.84,10861,59359,64.98,47.8
广东省,Guangdong,GD,113.23333,23.16667,45944.6,10441,3803.47,16579,44880,153.27,51.3
广西壮族自治区,Guangxi,GX,108.320004,22.82402,8552.4,4610,533.87,9739,32741,49.41,56.5
海南省,Hainan,HI,110.35,20.01667,2020.5,869,237.1,10342,4678,14.23,55.4
重庆市,Chongqing,CQ,106.45,29.56667,8065.3,2885,621.56,10984,17495,40.68,38.4
四川省,Sichuan,SC,104.06667,30.66667,17224.8,8045,1180.58,9373,74283,89.52,35.2
贵州省,Guizhou,GZ,106.71667,26.56667,4519.0,3479,395.57,7226,25420,36.7,37.1
云南省,Yunnan,YN,102.73333,25.05,7735.3,4602,702.16,8184,22888,53.36,50.0
西藏自治区,Tibet,XZ,91.0,30.6,512.9,300,25.28,6628,4960,6.62,12.0
陕西省,Shaanxi,SN,108.95,34.26667,9845.2,3735,710.57,9412,35696,51.44,41.4
甘肃省,Gansu,GS,103.73333,36.03333,3943.7,2560,220.29,7358,26673,31.07,11.3
青海省,Qinghai,QH,96.75,36.56667,1144.2,563,88.94,8659,5781,10.62,5.6
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,1571.7,633,126.79,9864,4129,9.95,11.9
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,5360.2,2185,416.23,9042,16000,36.56,4.2
