City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,293,0.36,194.64,63.94,7550.69,96.45,6.82
天津市,Tianjin,TJ,117.2,39.13333,249,0.36,443.01,178.19,7776.05,56.18,40.82
河北省,Hebei,HE,115.48333,38.03333,3708,8.63,8454.9,3568.98,60491.67,1389.84,126.39
山西省,Shanxi,SX,112.53333,37.86667,1612,3.1,3664.57,1387.25,9243.32,788.59,5.12
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,956,3.09,8079.08,3112.36,11534.87,241.6,14.79
辽宁省,Liaoning,LN,123.38333,41.8,1436,6.03,4219.8,1873.17,68881.95,741.69,525.67
吉林省,Jilin,JL,125.35,43.88333,1141,5.95,5890.5,3800.06,42350.96,105.37,19.01
黑龙江省,Heilongjiang,HL,127.63333,47.75,1471,8.74,14497.68,7403.8,21600.83,258.74,51.35
上海市,Shanghai,SH,121.55333,31.2,264,0.47,369.91,127.16,2071.66,79.65,33.05
江苏省,Jiangsu,JS,119.78333,32.05,2840,7.95,7615.79,3523.04,79535.41,861.62,518.75
浙江省,Zhejiang,ZJ,120.2,30.26667,2064,5.87,1986.77,603.61,20434.2,714.84,574.17
安徽省,Anhui,AH,117.283042,31.86119,3040,11.4,9500.18,3830.54,81164.93,965.28,223.69
福建省,Fujian,FJ,118.3,26.08333,1499,5.64,1670.17,520.43,51972.3,529.99,695.84
江西省,Jiangxi,JX,115.9,28.68333,2215,9.48,5667.34,2220.39,41996.2,621.06,253.66
山东省,Shandong,SD,117.000923,36.675807,4436,15.64,11316.65,5038.34,182023.92,2680.17,903.74
河南省,Henan,HA,113.65,34.76667,5300,12.99,14731.54,6133.6,82685.4,2368.12,91.76
湖北省,Hubei,HB,114.298572,30.584355,2575,12.61,7791.42,2658.26,52490.49,964.65,433.3
湖南省,Hunan,HN,113.0,28.21667,3373,12.43,8398.63,3078.94,40089.58,837.3,248.16
广东省,Guangdong,GD,113.23333,23.16667,3605,11.27,4225.19,1229.97,101509.9,1353.18,836.34
广西壮族自治区,Guangxi,GX,108.320004,22.82402,2550,7.2,5855.03,1452.63,85223.06,1457.88,332.4
海南省,Hainan,HI,110.35,20.01667,437,3.99,779.4,161.71,13966.91,408.81,197.44
重庆市,Chongqing,CQ,106.45,29.56667,1225,1.84,3288.58,1043.9,20238.08,342.97,44.34
四川省,Sichuan,SC,104.06667,30.66667,4354,5.94,9377.7,3324.64,64667.6,862.87,132.63
贵州省,Guizhou,GZ,106.71667,26.56667,2197,1.34,5510.5,1175.9,11164.26,187.34,20.99
云南省,Yunnan,YN,102.73333,25.05,2735,5.72,6842.84,1794.94,21303.32,690.59,58.2
西藏自治区,Tibet,XZ,91.0,30.6,240,0.1,227.1,97.97,211.37,1.51,0.03
陕西省,Shaanxi,SN,108.95,34.26667,1798,1.28,4053.87,1183.53,5861.19,1702.41,13.93
甘肃省,Gansu,GS,103.73333,36.03333,1461,7.78,3775.83,1145.37,4741.49,463.09,1.45
青海省,Qinghai,QH,96.75,36.56667,283,0.19,553.7,105.8,487.92,2.57,0.9
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,306,0.26,1126.76,376.59,1776.98,212.72,16.26
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1237,2.68,5074.23,1749.85,7545.51,1315.52,14.4
