city,city_en,province,province_en,Longtitude,Latitude,PM2.5,PM10,SO2,NO2,CO,O3,AQI
北京,Bei_jing,北京市,Beijing,116.413384,39.910925,73.257,101.278,10.052,48.414,96.881,112.591,102.271
天津,Tian_jin,天津市,Tianjin,117.209523,39.093668,68.184,108.022,20.453,49.514,84.687,100.341,98.513
石家庄,Shi_jia_zhuang,河北省,Hebei,114.521532,38.048312,99.956,162.368,39.893,56.956,86.245,103.766,133.371
唐山,Tang_shan,河北省,Hebei,118.186459,39.636584,75.431,128.995,46.33,57.942,95.703,113.607,107.886
秦皇岛,Qin_huang_dao,河北省,Hebei,119.608531,39.941748,46.121,87.692,27.637,47.442,85.607,97.481,74.437
邯郸,Han_dan,河北省,Hebei,114.545628,36.631263,81.044,151.159,42.08,54.591,90.923,108.786,117.884
保定,Bao_ding,河北省,Hebei,115.471464,38.879988,92.398,147.22,39.126,57.868,92.418,107.401,126.6
张家口,Zhang_jia_kou,河北省,Hebei,114.892572,40.773237,32.896,87.371,22.005,26.975,103.558,115.621,69.391
承德,Cheng_de,河北省,Hebei,117.969398,40.957856,39.681,82.464,17.346,35.354,102.162,116.519,68.839
廊坊,Lang_fang,河北省,Hebei,116.690582,39.543367,65.69,110.225,17.742,52.266,94.473,110.775,96.82
沧州,Cang_zhou,河北省,Hebei,116.845581,38.310215,68.397,109.719,36.055,47.212,103.185,118.832,98.782
衡水,Heng_shui,河北省,Hebei,115.675406,37.745191,87.967,151.632,30.409,45.629,110.563,125.742,125.855
邢台,Xing_tai,河北省,Hebei,114.511462,37.076686,86.838,144.42,52.607,61.302,84.827,102.365,120.156
太原,Tai_yuan,山西省,Shanxi,112.556391,37.876989,66.555,125.429,68.728,45.802,78.486,95.635,99.975
呼和浩特,Hu_he_hao_te,内蒙古自治区,Inner_Mongoria,111.755509,40.848423,38.972,88.945,27.129,41.27,92.107,107.342,72.312
沈阳,Shen_yang,辽宁省,Liaoning,123.466452,41.68879,54.333,94.647,48.945,41.884,92.642,107.085,83.306
大连,Da_lian,辽宁省,Liaoning,121.621631,38.918954,38.681,67.821,25.967,30.368,107.835,120.448,62.707
长春,Chang_chun,吉林省,Jilin,125.330602,43.821954,46.165,78.643,28.25,39.712,88.975,101.288,73.55
哈尔滨,Ha_er_bin,黑龙江省,Heilongjiang,126.541615,45.808826,51.286,74.788,29.052,43.808,66.462,77.365,73.949
上海,Shang_hai,上海市,Shanghai,121.480539,31.235929,44.703,62.871,14.777,43.327,104.632,121.036,66.01
南京,Nan_jing,江苏省,Jiangsu,118.802422,32.064653,47.923,86.25,18.429,44.365,107.712,125.915,74.906
苏州,Su_zhou,江苏省,Jiangsu,120.592412,31.303564,46.47,74.385,17.033,51.453,99.044,117.607,70.629
南通,Nan_tong,江苏省,Jiangsu,120.901592,31.986549,46.077,71.819,25.39,35.755,106.027,121.745,69.411
连云港,Lian_yun_gang,江苏省,Jiangsu,119.228621,34.60225,50.607,92.654,24.557,32.867,108.41,123.609,78.667
徐州,Xu_zhou,江苏省,Jiangsu,117.290575,34.212667,60.187,119.942,35.511,43.607,93.637,111.242,93.381
扬州,Yang_zhou,江苏省,Jiangsu,119.419419,32.400677,50.978,87.493,27.201,23.716,106.851,123.138,78.465
无锡,Wu_xi,江苏省,Jiangsu,120.318583,31.49881,52.86,83.058,17.871,47.025,105.151,123.673,76.75
常州,Chang_zhou,江苏省,Jiangsu,119.981485,31.815796,52.613,89.027,21.236,41.56,98.569,114.717,78.482
镇江,Zhen_jiang,江苏省,Jiangsu,119.430489,32.194716,50.113,82.876,24.19,38.409,96.409,112.104,75.451
泰州,Tai_zhou,江苏省,Jiangsu,119.929566,32.460675,55.201,95.712,19.016,31.602,104.516,118.813,81.899
淮安,Huai_an,江苏省,Jiangsu,119.021484,33.616295,53.481,93.005,18.547,24.648,104.091,117.64,80.104
盐城,Yan_cheng,江苏省,Jiangsu,120.167544,33.355101,42.195,78.228,15.632,26.201,102.236,114.794,68.49
宿迁,Su_qian,江苏省,Jiangsu,118.281574,33.96775,55.948,86.014,18.536,31.181,96.275,110.495,81.487
杭州,Hang_zhou,浙江省,Zhejiang,120.215512,30.253083,48.984,79.816,11.885,44.975,96.995,116.624,71.16
宁波,Ning_bo,浙江省,Zhejiang,121.628572,29.866033,38.415,62.195,13.201,39.415,97.898,115.093,58.318
温州,Wen_zhou,浙江省,Zhejiang,120.706477,28.001085,38.703,69.769,13.341,41.308,86.624,107.761,60.258
绍兴,Shao_xing,浙江省,Zhejiang,120.585478,30.036369,46.637,69.495,16.451,38.19,91.964,108.635,67.386
湖州,Hu_zhou,浙江省,Zhejiang,120.094517,30.898964,44.734,66.536,16.776,36.172,111.873,134.742,68.703
嘉兴,Jia_xing,浙江省,Zhejiang,120.763552,30.750975,45.362,71.29,15.227,37.561,106.623,124.55,67.701
台州,Tai_zhou,浙江省,Zhejiang,121.427435,28.662194,35.788,61.03,8.832,22.165,95.69,111.228,55.811
舟山,Zhou_shan,浙江省,Zhejiang,122.213556,29.990912,25.349,42.747,8.854,19.228,98.588,111.426,43.18
