City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,12900.9,1860,1913.97,26571,9734,52.89,35.8
天津市,Tianjin,TJ,117.2,39.13333,5709.6,1228,614.27,16967,4238,23.82,9.9
河北省,Hebei,HE,115.48333,38.03333,15306.9,7034,839.33,9267,80963,61.45,23.4
山西省,Shanxi,SX,112.53333,37.86667,7147.6,3427,581.91,8911,39917,38.09,18.0
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,7104.2,2458,576.83,11015,22677,31.88,21.0
辽宁省,Liaoning,LN,123.38333,41.8,12815.7,4341,1183.98,12183,34729,53.49,38.2
吉林省,Jilin,JL,125.35,43.88333,5434.8,2740,361.11,9671,18543,30.07,40.4
黑龙江省,Heilongjiang,HL,127.63333,47.75,7218.9,3826,444.31,9643,21825,34.86,43.2
上海市,Shanghai,SH,121.55333,31.2,15742.4,2210,2368.45,27500,4460,49.37,10.7
江苏省,Jiangsu,JS,119.78333,32.05,34471.7,7810,2654.75,14653,30571,110.55,15.8
浙江省,Zhejiang,ZJ,120.2,30.26667,22833.7,5276,1983.81,18528,29549,89.12,59.1
安徽省,Anhui,AH,117.283042,31.86119,10864.7,6131,629.32,8683,24799,48.73,27.5
福建省,Fujian,FJ,118.3,26.08333,12418.1,3666,778.14,12985,26613,44.79,66.0
江西省,Jiangxi,JX,115.9,28.68333,7630.0,4432,430.02,9094,34005,37.77,60.0
山东省,Shandong,SD,117.000923,36.675807,29540.8,9470,1720.35,11398,63885,83.97,16.7
河南省,Henan,HA,113.65,34.76667,19181.0,9487,821.5,8426,75722,76.33,21.5
湖北省,Hubei,HB,114.298572,30.584355,13192.1,5720,616.06,9496,32790,51.94,38.4
湖南省,Hunan,HN,113.0,28.21667,12772.8,6406,568.27,9745,55200,56.61,47.8
广东省,Guangdong,GD,113.23333,23.16667,39464.7,10130,3130.61,14728,44314,128.43,51.3
广西壮族自治区,Guangxi,GX,108.320004,22.82402,7112.9,4856,417.68,8655,32355,38.73,56.5
海南省,Hainan,HI,110.35,20.01667,1620.3,864,151.24,9151,4661,11.75,55.4
重庆市,Chongqing,CQ,106.45,29.56667,6651.2,2859,435.62,9688,16497,33.1,38.4
四川省,Sichuan,SC,104.06667,30.66667,14190.6,8185,886.67,8214,72914,80.88,35.2
贵州省,Guizhou,GZ,106.71667,26.56667,3856.7,3537,311.71,6099,24707,30.94,37.1
云南省,Yunnan,YN,102.73333,25.05,6574.4,4571,548.11,7170,22365,44.08,50.0
西藏自治区,Tibet,XZ,91.0,30.6,445.7,296,18.51,5807,4959,5.97,12.0
陕西省,Shaanxi,SN,108.95,34.26667,7997.8,3727,532.8,8122,33928,46.37,41.4
甘肃省,Gansu,GS,103.73333,36.03333,3268.3,2555,176.04,6454,25299,27.61,11.3
青海省,Qinghai,QH,96.75,36.56667,939.7,557,70.17,7553,5959,7.86,5.6
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,1266.7,625,90.74,8742,4149,8.13,11.9
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,4237.0,2159,301.13,7656,14244,29.59,4.2
