City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,40269.6,2189,,75002,,,
天津市,Tianjin,TJ,117.2,39.13333,15695.0,1373,,47449,,,
河北省,Hebei,HE,115.48333,38.03333,40391.3,7448,,29383,,,
山西省,Shanxi,SX,112.53333,37.86667,22590.2,3480,,27426,,,
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,20514.2,2400,,34108,,,
辽宁省,Liaoning,LN,123.38333,41.8,27584.1,4229,,35112,,,
吉林省,Jilin,JL,125.35,43.88333,13235.5,2375,,27770,,,
黑龙江省,Heilongjiang,HL,127.63333,47.75,14879.2,3125,,27159,,,
上海市,Shanghai,SH,121.55333,31.2,43214.9,2489,,78027,,,
江苏省,Jiangsu,JS,119.78333,32.05,116364.2,8505,,47498,,,
浙江省,Zhejiang,ZJ,120.2,30.26667,73515.8,6540,,57541,,,
安徽省,Anhui,AH,117.283042,31.86119,42959.2,6113,,30904,,,
福建省,Fujian,FJ,118.3,26.08333,48810.4,4187,,40659,,,
江西省,Jiangxi,JX,115.9,28.68333,29619.7,4517,,30610,,,
山东省,Shandong,SD,117.000923,36.675807,83095.9,10170,,35705,,,
河南省,Henan,HA,113.65,34.76667,58887.4,9883,,26811,,,
湖北省,Hubei,HB,114.298572,30.584355,50012.9,5830,,30829,,,
湖南省,Hunan,HN,113.0,28.21667,46063.1,6622,,31993,,,
广东省,Guangdong,GD,113.23333,23.16667,124369.7,12684,,44993,,,
广西壮族自治区,Guangxi,GX,108.320004,22.82402,24740.9,5037,,26727,,,
海南省,Hainan,HI,110.35,20.01667,6475.2,1020,,30457,,,
重庆市,Chongqing,CQ,106.45,29.56667,27894.0,3212,,33803,,,
四川省,Sichuan,SC,104.06667,30.66667,53850.8,8372,,29080,,,
贵州省,Guizhou,GZ,106.71667,26.56667,19586.4,3852,,23996,,,
云南省,Yunnan,YN,102.73333,25.05,27146.8,4690,,25666,,,
西藏自治区,Tibet,XZ,91.0,30.6,2080.2,366,,24950,,,
陕西省,Shaanxi,SN,108.95,34.26667,29801.0,3954,,28568,,,
甘肃省,Gansu,GS,103.73333,36.03333,10243.3,2490,,22066,,,
青海省,Qinghai,QH,96.75,36.56667,3346.6,594,,25920,,,
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,4522.3,725,,27905,,,
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,15983.6,2589,,26075,,,
