City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,277,0.23,88.55,28.76,1113.06,59.9,21.4
天津市,Tianjin,TJ,117.2,39.13333,217,0.22,410.27,223.25,6786.5,57.43,26.22
河北省,Hebei,HE,115.48333,38.03333,3070,5.73,8132.69,3739.24,66628.26,1391.48,99.01
山西省,Shanxi,SX,112.53333,37.86667,1354,2.53,3524.42,1361.8,14055.64,862.67,4.63
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,810,2.73,8885.02,3652.54,10597.98,280.41,12.6
辽宁省,Liaoning,LN,123.38333,41.8,1231,5.11,4217.1,2429.95,81610.3,820.7,455.01
吉林省,Jilin,JL,125.35,43.88333,939,4.87,6117.05,3877.93,48804.6,153.95,23.66
黑龙江省,Heilongjiang,HL,127.63333,47.75,1152,6.43,14770.08,7503.01,25900.09,164.96,64.83
上海市,Shanghai,SH,121.55333,31.2,267,0.28,261.39,95.89,844.46,48.07,28.03
江苏省,Jiangsu,JS,119.78333,32.05,2332,6.74,7442.63,3706.2,69960.93,983.6,484.12
浙江省,Zhejiang,ZJ,120.2,30.26667,1812,3.86,1999.62,592.15,19501.16,744.11,576.72
安徽省,Anhui,AH,117.283042,31.86119,2618,8.83,8781.96,4054.0,103151.18,706.32,231.46
福建省,Fujian,FJ,118.3,26.08333,1329,4.55,1599.29,493.9,99437.77,727.21,814.58
江西省,Jiangxi,JX,115.9,28.68333,1848,6.27,5521.18,2157.45,53954.62,693.27,258.81
山东省,Shandong,SD,117.000923,36.675807,3854,12.03,10933.09,5357.0,230749.62,2840.24,823.27
河南省,Henan,HA,113.65,34.76667,4553,10.72,14713.98,6695.36,108816.02,2589.66,99.09
湖北省,Hubei,HB,114.298572,30.584355,2262,9.7,7815.89,2724.98,59394.01,1010.23,469.54
湖南省,Hunan,HN,113.0,28.21667,2825,10.55,8122.79,2974.84,51056.99,1061.99,254.41
广东省,Guangdong,GD,113.23333,23.16667,3416,8.75,4357.38,1240.8,121183.46,1768.62,866.4
广西壮族自治区,Guangxi,GX,108.320004,22.82402,2343,6.81,5989.21,1332.0,101660.64,2472.13,342.15
海南省,Hainan,HI,110.35,20.01667,404,2.14,676.24,144.96,18403.72,456.15,172.16
重庆市,Chongqing,CQ,106.45,29.56667,1013,1.65,3345.74,1075.15,22415.23,476.39,54.17
四川省,Sichuan,SC,104.06667,30.66667,3728,4.63,9692.98,3498.5,78756.59,1136.7,157.69
贵州省,Guizhou,GZ,106.71667,26.56667,1867,0.92,5481.56,1051.24,15004.83,441.98,24.36
云南省,Yunnan,YN,102.73333,25.05,2420,4.74,6938.86,1870.03,31598.57,860.32,63.65
西藏自治区,Tibet,XZ,91.0,30.6,236,0.08,271.53,103.92,175.97,2.38,0.04
陕西省,Shaanxi,SN,108.95,34.26667,1527,1.22,4132.09,1231.13,6324.53,2012.79,16.62
甘肃省,Gansu,GS,103.73333,36.03333,1237,4.19,3831.57,1162.58,4175.2,710.09,1.44
青海省,Qinghai,QH,96.75,36.56667,243,0.14,553.54,105.54,498.19,3.69,1.85
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,261,0.22,1152.96,373.15,1723.94,258.64,15.77
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1138,2.29,6169.99,1527.07,9778.15,1604.75,16.68
