City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,273,,98.18,30.53,936.44,53.81,22.81
天津市,Tianjin,TJ,117.2,39.13333,212,,419.17,228.18,6564.5,56.39,28.48
河北省,Hebei,HE,115.48333,38.03333,2980,,8089.44,3795.89,68730.43,1424.36,100.34
山西省,Shanxi,SX,112.53333,37.86667,1308,,3541.51,1424.27,16355.87,909.77,4.68
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,781,,8882.81,3664.1,10252.46,238.7,11.76
辽宁省,Liaoning,LN,123.38333,41.8,1185,,4287.78,2338.83,92382.8,851.29,462.3
吉林省,Jilin,JL,125.35,43.88333,896,,6150.99,3803.17,48959.81,146.55,24.48
黑龙江省,Heilongjiang,HL,127.63333,47.75,1091,,14910.13,7540.78,28058.14,170.09,67.41
上海市,Shanghai,SH,121.55333,31.2,266,,255.16,91.44,788.21,43.94,24.41
江苏省,Jiangsu,JS,119.78333,32.05,2251,,7478.4,3729.06,70554.19,974.17,490.18
浙江省,Zhejiang,ZJ,120.2,30.26667,1800,,2014.5,605.7,20979.21,755.27,589.55
安徽省,Anhui,AH,117.283042,31.86119,2544,,8817.99,4019.22,107792.99,741.52,232.41
福建省,Fujian,FJ,118.3,26.08333,1300,,1631.27,502.32,103102.07,764.58,832.98
江西省,Jiangxi,JX,115.9,28.68333,1788,,5644.37,2163.88,56832.11,712.82,262.69
山东省,Shandong,SD,117.000923,36.675807,3756,,10889.06,5446.81,252670.83,2938.91,828.61
河南省,Henan,HA,113.65,34.76667,4431,,14687.99,6825.8,110828.12,2563.43,98.06
湖北省,Hubei,HB,114.298572,30.584355,2132,,7974.39,2727.43,59325.84,1066.83,467.93
湖南省,Hunan,HN,113.0,28.21667,2740,,8400.13,3015.12,54403.6,1150.75,258.92
广东省,Guangdong,GD,113.23333,23.16667,3263,,4451.81,1267.56,137381.5,1882.57,875.81
广西壮族自治区,Guangxi,GX,108.320004,22.82402,2299,,6107.32,1370.02,114571.54,2785.74,345.8
海南省,Hainan,HI,110.35,20.01667,402,,676.86,145.47,18590.83,495.63,164.64
重庆市,Chongqing,CQ,106.45,29.56667,980,,3372.54,1081.42,22872.22,514.82,52.4
四川省,Sichuan,SC,104.06667,30.66667,3622,,9849.89,3527.43,77444.47,1221.3,160.41
贵州省,Guizhou,GZ,106.71667,26.56667,1807,,5475.35,1057.63,17602.17,548.11,24.87
云南省,Yunnan,YN,102.73333,25.05,2359,,6989.67,1895.86,34226.76,961.58,64.4
西藏自治区,Tibet,XZ,91.0,30.6,235,,272.08,102.87,101.79,2.16,0.09
陕西省,Shaanxi,SN,108.95,34.26667,1477,,4160.85,1274.83,6518.37,2070.55,16.9
甘肃省,Gansu,GS,103.73333,36.03333,1195,,3931.82,1202.21,6215.5,778.96,1.4
青海省,Qinghai,QH,96.75,36.56667,237,,571.42,107.42,219.32,2.91,1.83
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,253,,1174.23,380.49,1386.7,204.45,16.16
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1126,,6280.01,1583.4,10359.22,1660.39,16.3
