City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,19024.7,2078,3124.75,36817,9632,,35.8
天津市,Tianjin,TJ,117.2,39.13333,9043.0,1378,1105.56,24030,4551,,9.9
河北省,Hebei,HE,115.48333,38.03333,23077.5,7262,1560.59,13647,79119,,23.4
山西省,Shanxi,SX,112.53333,37.86667,11683.1,3548,1045.22,13592,40192,,18.0
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,10470.1,2464,1119.87,16800,23046,,21.0
辽宁省,Liaoning,LN,123.38333,41.8,17848.6,4375,2317.19,18761,35792,,38.2
吉林省,Jilin,JL,125.35,43.88333,8678.0,2698,760.57,14395,19734,,40.4
黑龙江省,Heilongjiang,HL,127.63333,47.75,11015.8,3724,837.8,14302,21158,,43.2
上海市,Shanghai,SH,121.55333,31.2,21305.6,2399,3426.79,38550,4845,,10.7
江苏省,Jiangsu,JS,119.78333,32.05,53701.9,8120,4782.59,22432,31050,,15.8
浙江省,Zhejiang,ZJ,120.2,30.26667,34382.4,5685,3227.77,27020,30271,,59.1
安徽省,Anhui,AH,117.283042,31.86119,18341.7,5978,1305.09,13593,23275,,27.5
福建省,Fujian,FJ,118.3,26.08333,20190.7,3841,1440.34,19141,27276,,66.0
江西省,Jiangxi,JX,115.9,28.68333,12807.7,4475,978.08,13567,39509,,60.0
山东省,Shandong,SD,117.000923,36.675807,42957.3,9708,3050.2,17127,68840,,16.7
河南省,Henan,HA,113.65,34.76667,28961.9,9532,1469.57,12772,69258,,21.5
湖北省,Hubei,HB,114.298572,30.584355,22590.9,5781,1324.44,14809,35240,,38.4
湖南省,Hunan,HN,113.0,28.21667,21207.2,6590,1110.74,14391,58612,,47.8
广东省,Guangdong,GD,113.23333,23.16667,57007.7,11041,5073.88,21268,46534,,51.3
广西壮族自治区,Guangxi,GX,108.320004,22.82402,11303.6,4694,762.46,12644,34152,,56.5
海南省,Hainan,HI,110.35,20.01667,2789.4,910,350.8,14180,5154,,55.4
重庆市,Chongqing,CQ,106.45,29.56667,11595.4,2975,970.17,14924,17961,,38.4
四川省,Sichuan,SC,104.06667,30.66667,23922.4,8085,1827.04,12753,76557,,35.2
贵州省,Guizhou,GZ,106.71667,26.56667,6742.2,3587,681.66,9850,27404,,37.1
云南省,Yunnan,YN,102.73333,25.05,11097.4,4631,1063.9,11233,23395,,50.0
西藏自治区,Tibet,XZ,91.0,30.6,710.2,315,70.07,8568,6660,,12.0
陕西省,Shaanxi,SN,108.95,34.26667,14142.4,3787,1131.55,12885,36271,,41.4
甘肃省,Gansu,GS,103.73333,36.03333,5393.1,2550,347.78,9768,26401,,11.3
青海省,Qinghai,QH,96.75,36.56667,1528.5,571,146.69,11470,5948,,5.6
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,2131.0,659,207.02,13104,4140,,11.9
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,7411.8,2253,698.93,12151,18320,,4.2
