City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,21134.6,2125,3514.52,40830,9683,99.98,35.8
天津市,Tianjin,TJ,117.2,39.13333,9945.4,1410,1310.66,26359,4689,57.0,9.9
河北省,Hebei,HE,115.48333,38.03333,24259.6,7288,1724.87,15190,78485,102.98,23.4
山西省,Shanxi,SX,112.53333,37.86667,11987.2,3535,1136.89,15120,40281,69.18,18.0
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,11392.4,2455,1215.2,18693,23257,61.22,21.0
辽宁省,Liaoning,LN,123.38333,41.8,19208.8,4365,2521.62,20818,35612,93.02,38.2
吉林省,Jilin,JL,125.35,43.88333,9427.9,2668,856.41,15998,19913,54.8,40.4
黑龙江省,Heilongjiang,HL,127.63333,47.75,11849.1,3666,912.82,15903,21369,60.06,43.2
上海市,Shanghai,SH,121.55333,31.2,23204.1,2448,3797.16,42174,4929,90.7,10.7
江苏省,Jiangsu,JS,119.78333,32.05,59349.4,8192,5419.49,24776,30998,198.63,15.8
浙江省,Zhejiang,ZJ,120.2,30.26667,37334.6,5784,3545.66,29775,30063,144.9,59.1
安徽省,Anhui,AH,117.283042,31.86119,20584.0,5988,1520.22,15154,24645,104.13,27.5
福建省,Fujian,FJ,118.3,26.08333,22503.8,3885,1723.28,21218,28175,82.28,66.0
江西省,Jiangxi,JX,115.9,28.68333,14300.2,4476,1178.74,15100,38902,82.85,60.0
山东省,Shandong,SD,117.000923,36.675807,47344.3,9746,3533.49,19008,75426,177.96,16.7
河南省,Henan,HA,113.65,34.76667,31632.5,9573,1764.71,14204,71464,155.77,21.5
湖北省,Hubei,HB,114.298572,30.584355,25378.0,5798,1604.85,16472,35631,89.72,38.4
湖南省,Hunan,HN,113.0,28.21667,23545.2,6600,1299.15,16005,62210,107.85,47.8
广东省,Guangdong,GD,113.23333,23.16667,62503.4,11270,5767.94,23421,47835,247.76,51.3
广西壮族自治区,Guangxi,GX,108.320004,22.82402,12448.4,4731,875.74,14082,33943,77.94,56.5
海南省,Hainan,HI,110.35,20.01667,3115.9,920,411.63,15733,5011,22.23,55.4
重庆市,Chongqing,CQ,106.45,29.56667,13027.6,3011,1112.62,16569,18926,65.66,38.4
四川省,Sichuan,SC,104.06667,30.66667,26518.0,8109,2103.51,14231,80037,138.06,35.2
贵州省,Guizhou,GZ,106.71667,26.56667,7973.1,3632,839.67,11083,29177,68.0,37.1
云南省,Yunnan,YN,102.73333,25.05,12825.5,4641,1215.66,12578,24264,90.07,50.0
西藏自治区,Tibet,XZ,91.0,30.6,828.2,317,71.54,9740,6725,12.07,12.0
陕西省,Shaanxi,SN,108.95,34.26667,15905.4,3804,1256.24,14372,37137,89.27,41.4
甘肃省,Gansu,GS,103.73333,36.03333,6014.5,2537,417.73,10954,26697,48.11,11.3
青海省,Qinghai,QH,96.75,36.56667,1713.3,571,175.05,12948,6020,15.69,5.6
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,2327.7,666,237.49,14566,4231,15.79,11.9
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,8392.6,2285,826.34,13670,18663,59.9,4.2
