City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,8387.0,1601,,19296,4877,33.74,31.7
天津市,Tianjin,TJ,117.2,39.13333,3538.2,1075,,11526,2367,14.29,8.2
河北省,Hebei,HE,115.48333,38.03333,10043.0,6898,,6295,17733,35.54,22.3
山西省,Shanxi,SX,112.53333,37.86667,4713.6,3375,,6235,9776,21.98,14.1
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,4161.8,2415,,6876,7958,14.81,20.0
辽宁省,Liaoning,LN,123.38333,41.8,8390.3,4271,,7937,15876,32.82,35.1
吉林省,Jilin,JL,125.35,43.88333,3226.5,2723,,6757,9696,17.24,38.9
黑龙江省,Heilongjiang,HL,127.63333,47.75,5329.8,3823,,6748,8181,22.31,42.4
上海市,Shanghai,SH,121.55333,31.2,10598.9,1964,,19647,2519,37.07,9.4
江苏省,Jiangsu,JS,119.78333,32.05,21240.8,7656,,9947,17143,68.46,10.5
浙江省,Zhejiang,ZJ,120.2,30.26667,15302.7,5072,,13550,14230,63.15,57.4
安徽省,Anhui,AH,117.283042,31.86119,6500.3,6110,,5573,9288,27.76,26.1
福建省,Fujian,FJ,118.3,26.08333,7468.6,3585,,8948,9652,27.71,63.1
江西省,Jiangxi,JX,115.9,28.68333,4696.8,4339,,5894,10210,22.14,58.3
山东省,Shandong,SD,117.000923,36.675807,18967.8,9309,,7795,17016,54.71,16.7
河南省,Henan,HA,113.65,34.76667,11977.9,9392,,5409,14629,41.79,20.2
湖北省,Hubei,HB,114.298572,30.584355,7531.8,5693,,6304,10052,29.05,31.1
湖南省,Hunan,HN,113.0,28.21667,7431.6,6342,,6364,15331,33.39,44.8
广东省,Guangdong,GD,113.23333,23.16667,25961.2,9442,,11147,16953,86.54,49.4
广西壮族自治区,Guangxi,GX,108.320004,22.82402,4417.8,4719,,5353,9977,21.34,52.7
海南省,Hainan,HI,110.35,20.01667,1027.5,836,,6084,2337,5.59,52.0
重庆市,Chongqing,CQ,106.45,29.56667,3900.3,2808,,6632,6613,16.82,34.9
四川省,Sichuan,SC,104.06667,30.66667,8494.7,8169,,5247,24015,36.54,34.3
贵州省,Guizhou,GZ,106.71667,26.56667,2264.1,3690,,4016,6147,15.5,31.6
云南省,Yunnan,YN,102.73333,25.05,4090.7,4483,,4664,10020,23.11,47.5
西藏自治区,Tibet,XZ,91.0,30.6,285.9,285,,3828,1349,2.77,11.9
陕西省,Shaanxi,SN,108.95,34.26667,4595.6,3699,,5029,11631,22.89,37.3
甘肃省,Gansu,GS,103.73333,36.03333,2203.0,2547,,4428,12022,13.21,10.4
青海省,Qinghai,QH,96.75,36.56667,585.2,548,,5113,1643,3.74,4.6
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,683.3,604,,5576,1553,3.99,9.8
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,2957.3,2050,,5290,8175,15.33,4.0
