City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,7149.8,1538,,16853,4818,52.27,31.7
天津市,Tianjin,TJ,117.2,39.13333,3158.6,1043,,10255,2472,14.8,8.2
河北省,Hebei,HE,115.48333,38.03333,8773.4,6851,,5581,18046,32.49,22.3
山西省,Shanxi,SX,112.53333,37.86667,4079.4,3355,,5518,9430,18.91,14.1
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,3523.7,2403,,5985,7629,12.93,20.0
辽宁省,Liaoning,LN,123.38333,41.8,7260.8,4221,,6979,14925,31.64,35.1
吉林省,Jilin,JL,125.35,43.88333,2776.5,2716,,6010,8755,17.42,38.9
黑龙江省,Heilongjiang,HL,127.63333,47.75,4756.4,3820,,6048,8326,23.42,42.4
上海市,Shanghai,SH,121.55333,31.2,9197.1,1890,,17738,2526,42.29,9.4
江苏省,Jiangsu,JS,119.78333,32.05,18121.3,7588,,8712,15324,66.53,10.5
浙江省,Zhejiang,ZJ,120.2,30.26667,13028.3,4991,,12093,12555,56.84,57.4
安徽省,Anhui,AH,117.283042,31.86119,5675.9,6120,,4777,9197,25.25,26.1
福建省,Fujian,FJ,118.3,26.08333,6415.5,3557,,8042,7934,25.05,63.1
江西省,Jiangxi,JX,115.9,28.68333,3941.2,4311,,5223,10669,18.9,58.3
山东省,Shandong,SD,117.000923,36.675807,15947.5,9248,,6860,16323,49.88,16.7
河南省,Henan,HA,113.65,34.76667,10243.5,9380,,4668,14554,35.8,20.2
湖北省,Hubei,HB,114.298572,30.584355,6469.7,5710,,5628,9459,33.92,31.1
湖南省,Hunan,HN,113.0,28.21667,6369.9,6326,,5664,15008,32.34,44.8
广东省,Guangdong,GD,113.23333,23.16667,21963.0,9194,,10150,16318,80.66,49.4
广西壮族自治区,Guangxi,GX,108.320004,22.82402,3742.1,4660,,4870,9416,18.33,52.7
海南省,Hainan,HI,110.35,20.01667,884.9,828,,5322,2464,4.68,52.0
重庆市,Chongqing,CQ,106.45,29.56667,3448.4,2798,,5942,6380,17.31,34.9
四川省,Sichuan,SC,104.06667,30.66667,7195.9,8212,,4703,23832,36.32,34.3
贵州省,Guizhou,GZ,106.71667,26.56667,1939.9,3730,,3625,6571,13.95,31.6
云南省,Yunnan,YN,102.73333,25.05,3497.7,4450,,4197,10110,19.85,47.5
西藏自治区,Tibet,XZ,91.0,30.6,243.1,280,,3630,1378,3.02,11.9
陕西省,Shaanxi,SN,108.95,34.26667,3817.2,3690,,4395,11701,23.32,37.3
甘肃省,Gansu,GS,103.73333,36.03333,1864.6,2545,,3962,11849,11.95,10.4
青海省,Qinghai,QH,96.75,36.56667,499.4,543,,4587,1478,2.87,4.6
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,579.9,596,,4918,1463,3.63,9.8
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,2520.5,2010,,4707,8087,15.27,4.0
