City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,291,0.32,172.14,62.64,6688.44,87.94,6.61
天津市,Tianjin,TJ,117.2,39.13333,246,0.35,433.28,184.48,7492.9,55.78,40.1
河北省,Hebei,HE,115.48333,38.03333,3550,8.33,8457.76,3602.19,59388.56,1403.93,129.71
山西省,Shanxi,SX,112.53333,37.86667,1553,3.1,3612.65,1314.02,10957.03,833.16,5.24
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,925,3.3,8423.68,3292.58,10439.06,215.72,15.35
辽宁省,Liaoning,LN,123.38333,41.8,1386,5.99,4335.47,2186.61,76511.43,762.01,531.28
吉林省,Jilin,JL,125.35,43.88333,1107,6.23,5997.91,3974.1,44597.08,86.92,19.52
黑龙江省,Heilongjiang,HL,127.63333,47.75,1395,8.29,14811.88,7615.78,22473.04,213.46,54.24
上海市,Shanghai,SH,121.55333,31.2,282,0.44,350.64,125.41,1848.85,56.24,32.44
江苏省,Jiangsu,JS,119.78333,32.05,2703,7.81,7693.7,3594.71,77695.69,914.78,521.05
浙江省,Zhejiang,ZJ,120.2,30.26667,2016,5.65,1977.8,583.97,18240.37,970.87,597.83
安徽省,Anhui,AH,117.283042,31.86119,2947,11.1,9598.29,4077.23,86665.49,1029.8,230.43
福建省,Fujian,FJ,118.3,26.08333,1465,5.58,1617.17,500.05,72484.25,600.98,733.9
江西省,Jiangxi,JX,115.9,28.68333,2139,9.39,5688.41,2235.61,43169.63,663.42,264.25
山东省,Shandong,SD,117.000923,36.675807,4245,15.1,11381.01,5153.07,191799.06,2766.64,931.27
河南省,Henan,HA,113.65,34.76667,5140,12.87,14879.73,6470.22,83132.35,2439.62,102.37
湖北省,Hubei,HB,114.298572,30.584355,2505,12.07,7983.43,2914.75,52177.53,958.87,455.89
湖南省,Hunan,HN,113.0,28.21667,3255,12.24,8355.22,3094.21,41528.05,882.78,259.38
广东省,Guangdong,GD,113.23333,23.16667,3561,11.38,4194.55,1211.66,104806.54,1406.78,858.22
广西壮族自治区,Guangxi,GX,108.320004,22.82402,2502,7.49,6078.81,1433.15,88923.08,1593.05,345.92
海南省,Hainan,HI,110.35,20.01667,426,3.98,757.5,154.5,14686.03,402.9,204.89
重庆市,Chongqing,CQ,106.45,29.56667,1183,1.82,3311.32,1051.05,20362.07,372.28,48.09
四川省,Sichuan,SC,104.06667,30.66667,4240,5.89,9451.06,3394.6,66154.91,912.14,138.69
贵州省,Guizhou,GZ,106.71667,26.56667,2115,1.37,5532.9,1210.57,12013.11,216.89,24.98
云南省,Yunnan,YN,102.73333,25.05,2661,5.86,6818.64,1791.27,23018.3,762.81,69.71
西藏自治区,Tibet,XZ,91.0,30.6,235,0.11,229.69,100.63,193.11,1.52,0.03
陕西省,Shaanxi,SN,108.95,34.26667,1741,1.31,4050.0,1204.67,6291.04,1762.27,15.52
甘肃省,Gansu,GS,103.73333,36.03333,1407,7.88,3768.38,1154.58,5176.62,491.77,1.49
青海省,Qinghai,QH,96.75,36.56667,279,0.2,558.39,104.04,519.2,3.62,1.06
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,294,0.26,1132.43,372.6,1578.39,210.78,16.97
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1222,2.58,5175.47,1895.32,8120.78,1444.87,15.14
