city,city_en,province,province_en,Longtitude,Latitude,PM2.5,PM10,SO2,NO2,CO,O3,AQI
北京,Bei_jing,北京市,Beijing,116.413384,39.910925,42.197,68.173,4.512,36.977,98.439,113.289,70.606
天津,Tian_jin,天津市,Tianjin,117.209523,39.093668,51.552,80.994,11.006,42.368,106.348,124.21,82.632
石家庄,Shi_jia_zhuang,河北省,Hebei,114.521532,38.048312,63.714,121.289,16.51,46.317,105.977,122.941,100.294
唐山,Tang_shan,河北省,Hebei,118.186459,39.636584,54.374,100.776,23.21,49.249,98.244,117.357,85.603
秦皇岛,Qin_huang_dao,河北省,Hebei,119.608531,39.941748,40.841,74.51,19.034,41.652,97.408,111.252,67.863
邯郸,Han_dan,河北省,Hebei,114.545628,36.631263,66.218,126.66,15.734,38.079,112.569,128.575,102.66
保定,Bao_ding,河北省,Hebei,115.471464,38.879988,59.006,102.867,14.586,40.445,107.456,122.643,90.849
张家口,Zhang_jia_kou,河北省,Hebei,114.892572,40.773237,26.096,61.17,10.992,21.915,102.006,113.258,54.808
承德,Cheng_de,河北省,Hebei,117.969398,40.957856,29.636,63.892,13.67,32.25,92.472,106.838,56.692
廊坊,Lang_fang,河北省,Hebei,116.690582,39.543367,46.496,86.819,8.569,38.688,104.827,119.972,76.547
沧州,Cang_zhou,河北省,Hebei,116.845581,38.310215,50.28,90.122,17.666,37.72,104.924,119.326,80.236
衡水,Heng_shui,河北省,Hebei,115.675406,37.745191,57.054,98.306,12.725,33.501,107.55,121.317,88.064
邢台,Xing_tai,河北省,Hebei,114.511462,37.076686,64.969,119.278,19.787,45.216,108.122,124.793,100.93
太原,Tai_yuan,山西省,Shanxi,112.556391,37.876989,57.085,110.55,22.433,50.0,101.229,119.504,91.203
呼和浩特,Hu_he_hao_te,内蒙古自治区,Inner_Mongoria,111.755509,40.848423,37.258,74.544,14.36,37.884,92.071,105.921,66.143
沈阳,Shen_yang,辽宁省,Liaoning,123.466452,41.68879,43.235,79.195,21.439,36.592,88.87,102.7,70.357
大连,Da_lian,辽宁省,Liaoning,121.621631,38.918954,35.144,60.388,10.952,26.297,98.858,110.929,58.386
长春,Chang_chun,吉林省,Jilin,125.330602,43.821954,38.504,66.909,11.142,33.909,81.813,93.195,63.953
哈尔滨,Ha_er_bin,黑龙江省,Heilongjiang,126.541615,45.808826,42.246,71.144,16.779,32.878,74.354,84.904,67.778
上海,Shang_hai,上海市,Shanghai,121.480539,31.235929,35.082,48.244,6.915,41.708,98.598,113.436,55.378
南京,Nan_jing,江苏省,Jiangsu,118.802422,32.064653,40.479,72.465,10.008,42.085,105.598,123.382,66.603
苏州,Su_zhou,江苏省,Jiangsu,120.592412,31.303564,39.601,59.782,5.734,42.875,98.873,115.768,62.769
南通,Nan_tong,江苏省,Jiangsu,120.901592,31.986549,37.261,57.601,10.623,31.907,100.159,115.807,59.84
连云港,Lian_yun_gang,江苏省,Jiangsu,119.228621,34.60225,42.368,70.068,12.926,29.958,106.102,120.19,67.664
徐州,Xu_zhou,江苏省,Jiangsu,117.290575,34.212667,57.465,100.36,10.745,37.456,105.671,121.555,87.425
扬州,Yang_zhou,江苏省,Jiangsu,119.419419,32.400677,43.878,72.326,10.153,34.618,108.734,125.238,69.939
无锡,Wu_xi,江苏省,Jiangsu,120.318583,31.49881,39.771,72.229,8.408,40.252,104.108,121.618,65.289
常州,Chang_zhou,江苏省,Jiangsu,119.981485,31.815796,47.499,73.717,10.654,41.246,107.178,124.337,70.776
镇江,Zhen_jiang,江苏省,Jiangsu,119.430489,32.194716,45.47,74.595,9.15,33.858,106.357,123.442,71.876
泰州,Tai_zhou,江苏省,Jiangsu,119.929566,32.460675,45.042,71.023,7.612,28.34,108.357,123.065,68.018
淮安,Huai_an,江苏省,Jiangsu,119.021484,33.616295,44.674,78.938,7.439,28.884,102.252,114.986,72.46
盐城,Yan_cheng,江苏省,Jiangsu,120.167544,33.355101,40.193,68.771,4.907,24.36,105.258,117.629,64.962
宿迁,Su_qian,江苏省,Jiangsu,118.281574,33.96775,47.51,82.139,8.161,28.626,110.756,125.666,75.219
杭州,Hang_zhou,浙江省,Zhejiang,120.215512,30.253083,38.32,67.02,6.878,41.686,98.822,118.048,61.331
宁波,Ning_bo,浙江省,Zhejiang,121.628572,29.866033,28.878,48.006,8.076,35.694,97.445,114.195,47.903
温州,Wen_zhou,浙江省,Zhejiang,120.706477,28.001085,28.51,53.878,7.711,34.159,84.082,102.524,48.491
绍兴,Shao_xing,浙江省,Zhejiang,120.585478,30.036369,38.663,62.252,6.887,31.924,93.771,110.082,58.759
湖州,Hu_zhou,浙江省,Zhejiang,120.094517,30.898964,32.618,59.054,7.799,37.431,106.969,125.337,57.413
嘉兴,Jia_xing,浙江省,Zhejiang,120.763552,30.750975,35.635,56.686,6.807,33.099,100.89,116.938,56.549
台州,Tai_zhou,浙江省,Zhejiang,121.427435,28.662194,26.935,49.292,4.569,21.881,94.533,108.105,46.036
舟山,Zhou_shan,浙江省,Zhejiang,122.213556,29.990912,20.122,36.623,5.156,19.428,92.756,103.323,37.798
金华,Jin_hua,浙江省,Zhejiang,119.653436,29.084639,32.601,55.722,7.363,34.439,96.606,114.397,53.348
衢州,Qu_zhou,浙江省,Zhejiang,118.866597,28.975546,32.884,51.921,7.17,30.793,87.949,101.558,50.867
丽水,Li_shui,浙江省,Zhejiang,119.929573,28.473278,24.822,43.864,6.031,22.255,84.02,98.606,43.087
合肥,He_fei,安徽省,Anhui,117.233443,31.826578,44.198,72.49,6.204,42.014,100.323,116.292,71.489
福州,Fu_zhou,福建省,Fujian,119.30347,26.080429,24.147,43.207,4.592,22.221,93.465,107.986,43.037
厦门,Xia_men,福建省,Fujian,118.096435,24.485407,24.232,40.068,5.618,23.193,92.909,108.195,41.59
南昌,Nan_chang,江西省,Jiangxi,115.864589,28.689455,35.482,71.626,8.907,34.516,92.306,107.249,61.069
济南,Ji_nan,山东省,Shandong,117.126399,36.656554,55.686,109.731,15.34,43.238,115.943,132.578,90.617
青岛,Qing_dao,山东省,Shandong,120.389455,36.072227,39.482,79.017,8.193,35.799,97.856,111.425,68.491
郑州,Zheng_zhou,河南省,Henan,113.631419,34.753439,59.263,105.578,9.45,44.929,109.552,126.499,95.709
武汉,Wu_han,湖北省,Hubei,114.311582,30.598467,45.7,72.864,8.861,44.448,99.303,116.884,70.28
长沙,Chang_sha,湖南省,Hunan,112.945473,28.234889,47.595,59.386,7.161,33.365,95.105,110.241,69.753
广州,Guang_zhou,广东省,Guangdong,113.271431,23.135336,29.912,53.252,6.952,45.147,100.875,127.388,50.158
深圳,Shen_zhen,广东省,Guangdong,114.064552,22.548457,24.221,41.867,5.17,25.436,95.235,112.394,40.643
珠海,Zhu_hai,广东省,Guangdong,113.582555,22.276565,24.754,41.55,5.221,27.663,95.079,112.025,40.654
佛山,Fo_shan,广东省,Guangdong,113.128512,23.027759,30.04,56.615,9.133,41.28,99.53,125.363,51.645
中山,Zhong_shan,广东省,Guangdong,113.399422,22.522315,27.694,44.3,5.975,31.873,100.337,123.456,45.912
江门,Jiang_men,广东省,Guangdong,113.088556,22.584604,26.873,49.847,7.133,32.501,104.156,127.96,48.078
东莞,Dong_guan,广东省,Guangdong,113.75842,23.027308,32.178,49.306,9.725,36.799,110.688,135.53,51.323
惠州,Hui_zhou,广东省,Guangdong,114.423558,23.116359,25.11,47.363,7.686,24.637,96.32,112.448,44.768
肇庆,Zhao_qing,广东省,Guangdong,112.471489,23.052889,32.054,50.286,9.55,33.734,92.493,110.983,50.403
