city,city_en,province,province_en,Longtitude,Latitude,PM2.5,PM10,SO2,NO2,CO,O3,AQI
北京,Bei_jing,北京市,Beijing,116.413384,39.910925,56.77,89.296,7.7,45.364,99.874,119.286,86.927
天津,Tian_jin,天津市,Tianjin,117.209523,39.093668,62.131,103.883,16.24,50.182,105.455,124.506,93.959
石家庄,Shi_jia_zhuang,河北省,Hebei,114.521532,38.048312,85.215,156.846,33.006,53.612,102.941,121.735,123.934
唐山,Tang_shan,河北省,Hebei,118.186459,39.636584,67.112,121.961,40.883,59.148,105.83,127.433,101.171
秦皇岛,Qin_huang_dao,河北省,Hebei,119.608531,39.941748,42.899,82.039,25.679,48.601,102.933,118.718,72.371
邯郸,Han_dan,河北省,Hebei,114.545628,36.631263,85.257,156.307,36.592,51.179,105.447,123.905,123.281
保定,Bao_ding,河北省,Hebei,115.471464,38.879988,83.737,138.777,28.746,50.204,113.268,132.229,117.461
张家口,Zhang_jia_kou,河北省,Hebei,114.892572,40.773237,31.24,79.156,14.774,25.299,109.271,123.02,64.096
承德,Cheng_de,河北省,Hebei,117.969398,40.957856,35.031,85.277,16.994,34.472,97.422,114.067,68.227
廊坊,Lang_fang,河北省,Hebei,116.690582,39.543367,59.575,106.254,13.679,47.989,108.698,128.123,91.25
沧州,Cang_zhou,河北省,Hebei,116.845581,38.310215,66.112,109.291,30.888,46.656,112.634,129.751,96.473
衡水,Heng_shui,河北省,Hebei,115.675406,37.745191,75.791,141.975,18.732,40.561,105.874,121.846,113.785
邢台,Xing_tai,河北省,Hebei,114.511462,37.076686,79.911,150.67,38.821,56.743,109.33,131.047,118.486
太原,Tai_yuan,山西省,Shanxi,112.556391,37.876989,66.913,134.869,53.455,53.933,97.553,118.346,104.947
呼和浩特,Hu_he_hao_te,内蒙古自治区,Inner_Mongoria,111.755509,40.848423,41.682,92.145,27.26,43.489,101.223,115.67,75.928
沈阳,Shen_yang,辽宁省,Liaoning,123.466452,41.68879,50.251,87.503,36.726,40.707,99.547,115.511,79.687
大连,Da_lian,辽宁省,Liaoning,121.621631,38.918954,33.737,59.193,17.045,27.891,109.506,123.151,57.777
长春,Chang_chun,吉林省,Jilin,125.330602,43.821954,45.67,81.813,26.282,40.14,90.201,103.838,75.283
哈尔滨,Ha_er_bin,黑龙江省,Heilongjiang,126.541615,45.808826,56.894,83.346,25.176,44.218,88.785,103.913,83.904
上海,Shang_hai,上海市,Shanghai,121.480539,31.235929,38.539,58.941,11.648,43.994,114.517,132.05,61.447
南京,Nan_jing,江苏省,Jiangsu,118.802422,32.064653,40.67,78.888,15.757,47.145,108.137,126.768,69.006
苏州,Su_zhou,江苏省,Jiangsu,120.592412,31.303564,42.908,68.391,13.992,47.439,106.76,125.087,66.976
南通,Nan_tong,江苏省,Jiangsu,120.901592,31.986549,39.687,67.676,21.318,38.078,117.025,135.899,64.355
连云港,Lian_yun_gang,江苏省,Jiangsu,119.228621,34.60225,45.76,76.274,18.332,33.394,104.036,119.282,70.692
徐州,Xu_zhou,江苏省,Jiangsu,117.290575,34.212667,67.88,125.299,21.86,44.092,114.721,132.668,102.165
扬州,Yang_zhou,江苏省,Jiangsu,119.419419,32.400677,53.877,95.545,18.165,39.947,113.321,131.109,84.075
无锡,Wu_xi,江苏省,Jiangsu,120.318583,31.49881,45.039,79.221,13.173,45.712,107.779,126.626,70.958
常州,Chang_zhou,江苏省,Jiangsu,119.981485,31.815796,48.631,78.12,18.249,44.598,107.642,126.274,73.077
镇江,Zhen_jiang,江苏省,Jiangsu,119.430489,32.194716,55.38,90.732,15.553,42.662,108.913,127.654,83.826
泰州,Tai_zhou,江苏省,Jiangsu,119.929566,32.460675,52.053,82.846,13.83,35.656,110.983,127.296,78.007
淮安,Huai_an,江苏省,Jiangsu,119.021484,33.616295,51.492,92.061,14.531,33.137,109.659,125.028,81.069
盐城,Yan_cheng,江苏省,Jiangsu,120.167544,33.355101,44.318,82.894,12.662,28.128,109.282,124.078,72.713
宿迁,Su_qian,江苏省,Jiangsu,118.281574,33.96775,56.941,84.737,16.732,31.472,115.056,131.522,83.005
杭州,Hang_zhou,浙江省,Zhejiang,120.215512,30.253083,44.374,71.846,11.182,45.455,101.134,122.525,67.014
宁波,Ning_bo,浙江省,Zhejiang,121.628572,29.866033,36.83,60.034,10.249,38.52,101.997,120.648,57.119
温州,Wen_zhou,浙江省,Zhejiang,120.706477,28.001085,38.17,65.316,12.151,41.173,95.332,117.673,59.323
绍兴,Shao_xing,浙江省,Zhejiang,120.585478,30.036369,44.788,70.768,12.469,34.989,104.534,123.832,66.482
湖州,Hu_zhou,浙江省,Zhejiang,120.094517,30.898964,41.874,65.036,14.799,38.545,114.556,135.98,65.741
嘉兴,Jia_xing,浙江省,Zhejiang,120.763552,30.750975,41.584,68.279,10.723,37.402,113.268,132.774,65.318
台州,Tai_zhou,浙江省,Zhejiang,121.427435,28.662194,33.022,59.693,6.626,24.123,97.874,113.659,53.985
舟山,Zhou_shan,浙江省,Zhejiang,122.213556,29.990912,24.807,45.277,9.117,17.835,107.997,121.408,44.694
金华,Jin_hua,浙江省,Zhejiang,119.653436,29.084639,41.735,59.964,11.606,36.852,100.142,118.908,62.596
衢州,Qu_zhou,浙江省,Zhejiang,118.866597,28.975546,41.771,64.961,14.087,33.802,92.098,106.86,61.86
丽水,Li_shui,浙江省,Zhejiang,119.929573,28.473278,33.078,51.034,9.327,23.601,93.279,110.237,52.282
合肥,He_fei,安徽省,Anhui,117.233443,31.826578,56.12,85.274,12.603,52.078,100.919,118.587,82.643
福州,Fu_zhou,福建省,Fujian,119.30347,26.080429,27.33,53.123,6.464,29.025,97.341,113.975,49.137
厦门,Xia_men,福建省,Fujian,118.096435,24.485407,26.978,49.229,11.112,32.151,81.88,96.69,45.905
南昌,Nan_chang,江西省,Jiangxi,115.864589,28.689455,40.268,78.324,15.087,37.902,93.251,109.782,66.553
济南,Ji_nan,山东省,Shandong,117.126399,36.656554,65.777,129.989,25.883,45.302,111.081,129.439,101.166
青岛,Qing_dao,山东省,Shandong,120.389455,36.072227,38.802,81.156,15.751,37.964,108.944,125.642,69.588
郑州,Zheng_zhou,河南省,Henan,113.631419,34.753439,71.324,132.156,21.344,54.145,108.743,128.33,108.676
武汉,Wu_han,湖北省,Hubei,114.311582,30.598467,52.358,89.894,9.972,50.215,86.324,105.439,80.724
长沙,Chang_sha,湖南省,Hunan,112.945473,28.234889,51.804,73.658,12.774,39.592,90.531,107.218,75.573
广州,Guang_zhou,广东省,Guangdong,113.271431,23.135336,35.221,57.128,11.944,52.159,93.19,122.212,55.063
深圳,Shen_zhen,广东省,Guangdong,114.064552,22.548457,27.866,44.511,7.804,29.522,90.676,108.162,43.403
珠海,Zhu_hai,广东省,Guangdong,113.582555,22.276565,29.466,43.703,7.546,32.653,88.899,106.692,45.236
佛山,Fo_shan,广东省,Guangdong,113.128512,23.027759,39.511,64.156,12.891,44.394,99.36,127.788,60.562
中山,Zhong_shan,广东省,Guangdong,113.399422,22.522315,33.237,50.02,10.344,35.961,97.237,122.349,51.849
江门,Jiang_men,广东省,Guangdong,113.088556,22.584604,36.726,61.908,11.835,38.162,100.011,125.603,58.746
东莞,Dong_guan,广东省,Guangdong,113.75842,23.027308,36.793,52.975,11.955,40.338,100.282,125.95,55.062
惠州,Hui_zhou,广东省,Guangdong,114.423558,23.116359,29.223,52.006,8.578,25.285,91.922,108.05,49.132
肇庆,Zhao_qing,广东省,Guangdong,112.471489,23.052889,40.352,59.701,13.944,36.763,91.397,113.399,59.974
南宁,Nan_ning,广西壮族自治区,Guangxi,108.373451,22.822607,35.176,57.466,11.173,34.726,75.62,91.609,54.051
海口,Hai_kou,海南省,Hainan,110.325525,20.044049,20.531,37.95,6.606,12.291,81.575,94.0,37.611
