City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,33106.0,2192,4988.83,62361,10058,135.25,43.8
天津市,Tianjin,TJ,117.2,39.13333,13362.9,1383,1624.89,39506,5686,63.52,12.1
河北省,Hebei,HE,115.48333,38.03333,32494.6,7426,2555.82,23446,85088,173.9,26.8
山西省,Shanxi,SX,112.53333,37.86667,15958.1,3502,1645.67,21990,42079,91.34,20.5
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,16140.8,2422,1399.86,28376,24610,77.59,22.1
辽宁省,Liaoning,LN,123.38333,41.8,23510.5,4291,1976.13,29701,36029,97.59,39.2
吉林省,Jilin,JL,125.35,43.88333,11253.8,2484,891.75,22798,22691,68.66,41.5
黑龙江省,Heilongjiang,HL,127.63333,47.75,12846.5,3327,980.8,22726,20349,76.12,43.8
上海市,Shanghai,SH,121.55333,31.2,36011.8,2475,6285.04,64183,5293,134.13,14.0
江苏省,Jiangsu,JS,119.78333,32.05,93207.6,8446,7263.65,38096,33254,282.76,15.2
浙江省,Zhejiang,ZJ,120.2,30.26667,58002.8,6273,5586.63,45840,32754,240.09,59.4
安徽省,Anhui,AH,117.283042,31.86119,34010.9,6076,2180.74,23984,24925,150.12,28.7
福建省,Fujian,FJ,118.3,26.08333,38687.8,4104,2237.42,32644,27590,125.48,66.8
江西省,Jiangxi,JX,115.9,28.68333,22716.5,4513,1663.15,24080,36545,131.53,61.2
山东省,Shandong,SD,117.000923,36.675807,66648.9,10077,4897.92,29205,81470,263.49,17.5
河南省,Henan,HA,113.65,34.76667,49935.9,9864,2656.65,21964,71351,242.94,24.1
湖北省,Hubei,HB,114.298572,30.584355,42022.0,5917,2463.52,25815,36486,145.78,39.6
湖南省,Hunan,HN,113.0,28.21667,36329.7,6635,1959.67,25241,56239,163.01,49.7
广东省,Guangdong,GD,113.23333,23.16667,99945.2,12348,9737.51,35810,51451,426.84,53.5
广西壮族自治区,Guangxi,GX,108.320004,22.82402,19627.8,4947,1122.09,21485,33742,128.37,60.2
海南省,Hainan,HI,110.35,20.01667,4910.7,982,628.68,24579,5325,37.77,57.4
重庆市,Chongqing,CQ,106.45,29.56667,21588.8,3163,1603.03,26386,20524,102.16,43.1
四川省,Sichuan,SC,104.06667,30.66667,42902.1,8321,2819.77,22461,81537,207.68,38.0
贵州省,Guizhou,GZ,106.71667,26.56667,15353.2,3822,1266.02,18430,28066,127.33,43.8
云南省,Yunnan,YN,102.73333,25.05,20880.6,4703,1423.25,20084,24954,145.44,55.0
西藏自治区,Tibet,XZ,91.0,30.6,1548.4,354,155.93,17286,6844,25.63,12.1
陕西省,Shaanxi,SN,108.95,34.26667,23941.9,3931,1774.29,22528,35300,113.75,43.1
甘肃省,Gansu,GS,103.73333,36.03333,8104.1,2515,610.47,17488,27897,74.05,11.3
青海省,Qinghai,QH,96.75,36.56667,2748.0,587,205.49,20757,6396,26.4,5.8
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,3510.2,710,298.3,22400,4450,23.47,12.6
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,12809.4,2520,1051.8,21500,18450,95.23,4.9
