City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,17188.8,2024,2854.63,33176,9495,73.74,35.8
天津市,Tianjin,TJ,117.2,39.13333,8112.5,1341,1004.51,21714,4428,41.36,9.9
河北省,Hebei,HE,115.48333,38.03333,21384.7,7232,1348.51,12059,80185,84.48,23.4
山西省,Shanxi,SX,112.53333,37.86667,10894.4,3562,872.88,11959,40339,54.95,18.0
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,9458.1,2470,985.69,14715,22908,50.4,21.0
辽宁省,Liaoning,LN,123.38333,41.8,16354.9,4379,1974.85,16429,35229,78.09,38.2
吉林省,Jilin,JL,125.35,43.88333,7734.6,2725,624.19,12621,19785,42.94,40.4
黑龙江省,Heilongjiang,HL,127.63333,47.75,9935.0,3782,741.85,12605,21749,48.38,43.2
上海市,Shanghai,SH,121.55333,31.2,20009.7,2356,3172.72,34731,4740,71.06,10.7
江苏省,Jiangsu,JS,119.78333,32.05,48839.2,8023,4124.62,19820,31680,158.82,15.8
浙江省,Zhejiang,ZJ,120.2,30.26667,31854.8,5570,2952.01,24195,30515,120.69,59.1
安徽省,Anhui,AH,117.283042,31.86119,16284.9,5972,1108.31,11873,22884,81.72,27.5
福建省,Fujian,FJ,118.3,26.08333,17917.7,3784,1254.31,16909,27147,63.45,66.0
江西省,Jiangxi,JX,115.9,28.68333,11584.5,4474,777.09,11870,39154,63.08,60.0
山东省,Shandong,SD,117.000923,36.675807,39064.9,9665,2603.13,15077,68275,137.28,16.7
河南省,Henan,HA,113.65,34.76667,26318.7,9461,1263.1,11206,76128,118.21,21.5
湖北省,Hubei,HB,114.298572,30.584355,19942.5,5760,1067.11,12941,35625,68.44,38.4
湖南省,Hunan,HN,113.0,28.21667,18915.0,6581,915.4,12612,59634,79.88,47.8
广东省,Guangdong,GD,113.23333,23.16667,53072.8,10756,4548.66,18916,45930,188.46,51.3
广西壮族自治区,Guangxi,GX,108.320004,22.82402,10299.9,4655,644.8,11054,34026,59.38,56.5
海南省,Hainan,HI,110.35,20.01667,2463.8,890,295.69,12392,4816,17.32,55.4
重庆市,Chongqing,CQ,106.45,29.56667,10161.2,2944,881.07,13037,17650,50.4,38.4
四川省,Sichuan,SC,104.06667,30.66667,21050.9,8064,1537.42,11130,75815,102.44,35.2
贵州省,Guizhou,GZ,106.71667,26.56667,5615.6,3530,518.14,8594,25943,45.11,37.1
云南省,Yunnan,YN,102.73333,25.05,9523.1,4620,881.95,9739,23248,65.83,50.0
西藏自治区,Tibet,XZ,91.0,30.6,611.5,309,45.83,7510,6602,8.26,12.0
陕西省,Shaanxi,SN,108.95,34.26667,12175.1,3765,933.84,11229,36396,68.38,41.4
甘肃省,Gansu,GS,103.73333,36.03333,4816.9,2552,284.04,8463,26632,36.08,11.3
青海省,Qinghai,QH,96.75,36.56667,1370.4,568,119.85,10024,5887,15.52,5.6
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,1931.8,648,177.13,11480,4132,13.14,11.9
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,6532.0,2225,593.41,10443,17412,46.06,4.2
