city,city_en,province,province_en,Longtitude,Latitude,PM2.5,PM10,SO2,NO2,CO,O3,AQI
北京,Bei_jing,北京市,Beijing,116.413384,39.910925,34.278,67.408,2.953,26.028,87.006,99.741,63.028
天津,Tian_jin,天津市,Tianjin,117.209523,39.093668,40.871,79.138,8.57,37.168,93.242,107.989,70.344
石家庄,Shi_jia_zhuang,河北省,Hebei,114.521532,38.048312,47.449,101.149,9.223,31.683,100.7,114.843,82.846
唐山,Tang_shan,河北省,Hebei,118.186459,39.636584,44.719,89.333,9.994,39.058,92.135,107.813,75.108
秦皇岛,Qin_huang_dao,河北省,Hebei,119.608531,39.941748,35.344,69.085,11.474,32.124,94.523,107.3,62.503
邯郸,Han_dan,河北省,Hebei,114.545628,36.631263,48.245,94.705,12.077,28.281,104.187,117.848,81.222
保定,Bao_ding,河北省,Hebei,115.471464,38.879988,44.554,90.854,7.871,35.565,97.322,111.342,77.851
张家口,Zhang_jia_kou,河北省,Hebei,114.892572,40.773237,26.967,64.402,8.744,18.127,97.601,107.248,54.579
承德,Cheng_de,河北省,Hebei,117.969398,40.957856,31.039,63.132,10.915,30.105,83.523,97.399,55.745
廊坊,Lang_fang,河北省,Hebei,116.690582,39.543367,38.446,82.091,7.675,35.964,95.485,109.331,69.778
沧州,Cang_zhou,河北省,Hebei,116.845581,38.310215,40.926,80.601,8.174,31.118,99.959,113.906,70.117
衡水,Heng_shui,河北省,Hebei,115.675406,37.745191,43.278,83.262,12.041,30.361,103.036,116.656,74.07
邢台,Xing_tai,河北省,Hebei,114.511462,37.076686,45.289,88.931,9.835,31.347,104.163,119.601,77.404
太原,Tai_yuan,山西省,Shanxi,112.556391,37.876989,48.417,105.848,13.983,38.909,106.13,126.53,83.848
呼和浩特,Hu_he_hao_te,内蒙古自治区,Inner_Mongoria,111.755509,40.848423,33.567,85.463,11.135,28.507,92.444,104.207,65.165
沈阳,Shen_yang,辽宁省,Liaoning,123.466452,41.68879,37.989,67.435,15.477,32.92,83.292,95.986,62.049
大连,Da_lian,辽宁省,Liaoning,121.621631,38.918954,28.311,53.19,9.471,25.95,96.444,107.658,50.937
长春,Chang_chun,吉林省,Jilin,125.330602,43.821954,31.766,57.105,9.212,31.325,75.832,86.543,55.965
哈尔滨,Ha_er_bin,黑龙江省,Heilongjiang,126.541615,45.808826,36.468,57.683,16.59,30.438,84.457,95.361,59.507
上海,Shang_hai,上海市,Shanghai,121.480539,31.235929,27.579,44.408,5.73,35.185,92.132,106.069,47.546
南京,Nan_jing,江苏省,Jiangsu,118.802422,32.064653,30.121,60.072,5.565,32.725,103.802,120.096,55.191
苏州,Su_zhou,江苏省,Jiangsu,120.592412,31.303564,28.815,50.747,5.832,33.603,100.14,116.76,50.77
南通,Nan_tong,江苏省,Jiangsu,120.901592,31.986549,30.545,49.039,6.457,26.623,99.096,114.556,51.633
连云港,Lian_yun_gang,江苏省,Jiangsu,119.228621,34.60225,33.22,66.248,9.661,27.052,102.107,115.303,60.697
徐州,Xu_zhou,江苏省,Jiangsu,117.290575,34.212667,43.289,86.455,9.019,31.807,98.799,112.843,72.807
扬州,Yang_zhou,江苏省,Jiangsu,119.419419,32.400677,34.028,66.672,9.088,31.275,104.264,120.394,61.03
无锡,Wu_xi,江苏省,Jiangsu,120.318583,31.49881,29.551,58.226,6.62,34.496,103.675,121.76,54.21
常州,Chang_zhou,江苏省,Jiangsu,119.981485,31.815796,36.846,64.322,9.154,38.466,108.102,125.262,60.46
镇江,Zhen_jiang,江苏省,Jiangsu,119.430489,32.194716,37.595,61.755,6.78,29.788,103.099,120.072,60.966
泰州,Tai_zhou,江苏省,Jiangsu,119.929566,32.460675,33.755,61.047,6.964,23.369,99.355,113.782,56.46
淮安,Huai_an,江苏省,Jiangsu,119.021484,33.616295,37.526,67.623,6.669,25.132,100.262,112.664,64.118
盐城,Yan_cheng,江苏省,Jiangsu,120.167544,33.355101,29.336,57.237,5.248,20.813,103.953,115.678,54.08
宿迁,Su_qian,江苏省,Jiangsu,118.281574,33.96775,39.314,73.366,6.46,24.807,101.526,114.678,66.47
杭州,Hang_zhou,浙江省,Zhejiang,120.215512,30.253083,28.474,56.124,5.851,34.226,94.774,113.0,50.988
宁波,Ning_bo,浙江省,Zhejiang,121.628572,29.866033,21.399,40.267,9.118,33.727,90.339,105.975,39.695
温州,Wen_zhou,浙江省,Zhejiang,120.706477,28.001085,25.501,51.821,5.421,32.804,83.623,101.926,46.875
绍兴,Shao_xing,浙江省,Zhejiang,120.585478,30.036369,27.683,51.253,6.697,30.212,92.488,109.446,48.139
湖州,Hu_zhou,浙江省,Zhejiang,120.094517,30.898964,24.882,54.595,6.267,36.121,102.267,120.708,50.915
嘉兴,Jia_xing,浙江省,Zhejiang,120.763552,30.750975,27.041,50.774,7.647,34.176,99.295,115.471,48.501
台州,Tai_zhou,浙江省,Zhejiang,121.427435,28.662194,22.887,44.179,4.904,22.961,87.504,101.84,41.997
舟山,Zhou_shan,浙江省,Zhejiang,122.213556,29.990912,15.138,31.592,5.402,18.796,91.24,102.204,33.629
金华,Jin_hua,浙江省,Zhejiang,119.653436,29.084639,27.22,50.532,6.32,31.926,86.022,103.722,48.123
衢州,Qu_zhou,浙江省,Zhejiang,118.866597,28.975546,24.711,52.311,6.262,28.253,86.653,102.455,47.589
丽水,Li_shui,浙江省,Zhejiang,119.929573,28.473278,21.204,40.267,6.322,19.336,78.262,93.727,39.767
合肥,He_fei,安徽省,Anhui,117.233443,31.826578,33.344,68.446,6.89,36.143,88.736,101.89,60.376
福州,Fu_zhou,福建省,Fujian,119.30347,26.080429,20.755,39.16,4.444,18.606,83.231,96.333,39.122
厦门,Xia_men,福建省,Fujian,118.096435,24.485407,20.427,36.686,5.19,18.843,93.41,111.579,37.613
南昌,Nan_chang,江西省,Jiangxi,115.864589,28.689455,31.253,62.342,8.377,27.576,87.427,101.366,55.1
济南,Ji_nan,山东省,Shandong,117.126399,36.656554,43.063,94.862,11.567,33.014,108.959,123.441,77.967
青岛,Qing_dao,山东省,Shandong,120.389455,36.072227,30.121,65.242,7.711,30.567,97.634,108.884,57.602
郑州,Zheng_zhou,河南省,Henan,113.631419,34.753439,44.446,94.336,8.311,31.766,104.942,118.884,81.321
武汉,Wu_han,湖北省,Hubei,114.311582,30.598467,38.129,62.771,7.826,40.284,95.719,112.882,60.89
长沙,Chang_sha,湖南省,Hunan,112.945473,28.234889,43.08,53.749,7.058,28.752,87.187,101.121,64.223
广州,Guang_zhou,广东省,Guangdong,113.271431,23.135336,24.107,46.581,7.565,34.394,102.81,127.653,44.422
深圳,Shen_zhen,广东省,Guangdong,114.064552,22.548457,18.129,36.978,6.061,24.182,86.036,102.388,36.002
珠海,Zhu_hai,广东省,Guangdong,113.582555,22.276565,19.601,36.972,6.347,22.496,90.669,106.353,36.085
佛山,Fo_shan,广东省,Guangdong,113.128512,23.027759,23.43,46.14,7.625,32.477,101.959,126.347,44.187
中山,Zhong_shan,广东省,Guangdong,113.399422,22.522315,20.512,39.802,4.796,25.438,94.741,113.802,39.149
江门,Jiang_men,广东省,Guangdong,113.088556,22.584604,22.711,45.612,7.259,30.383,100.848,122.325,43.75
东莞,Dong_guan,广东省,Guangdong,113.75842,23.027308,22.264,41.73,8.733,29.253,107.647,132.964,41.904
惠州,Hui_zhou,广东省,Guangdong,114.423558,23.116359,19.314,40.377,7.73,19.689,99.3,115.587,39.389
肇庆,Zhao_qing,广东省,Guangdong,112.471489,23.052889,22.281,37.543,9.474,25.518,93.893,111.46,38.702
南宁,Nan_ning,广西壮族自治区,Guangxi,108.373451,22.822607,28.083,48.264,8.262,24.895,83.256,98.176,45.689
海口,Hai_kou,海南省,Hainan,110.325525,20.044049,14.7,28.551,3.92,10.278,80.215,90.576,29.472
重庆,Chong_qing,重庆市,Chongqing,106.558434,29.568996,34.736,53.702,9.386,32.22,70.041,85.499,52.903
成都,Cheng_du,四川省,Sichuan,104.081534,30.655822,40.143,62.711,5.672,35.292,86.873,105.102,61.132
贵阳,Gui_yang,贵州省,Guizhou,106.714476,26.60403,23.634,43.129,9.86,20.218,72.614,82.989,41.085
昆明,Kun_ming,云南省,Yunnan,102.852448,24.873998,23.84,40.661,8.882,23.129,86.78,97.306,40.112
拉萨,La_sa,西藏自治区,Tibet,91.120824,29.65004,9.623,23.942,6.474,15.909,93.209,101.926,30.012
西安,Xi_an,陕西省,Shaanxi,108.946466,34.347269,43.471,96.628,8.036,40.59,84.937,102.168,78.932
兰州,Lan_zhou,甘肃省,Gansu,103.840521,36.067235,38.843,110.129,15.598,45.981,92.499,109.835,74.487
西宁,Xi_ning,青海省,Qinghai,101.78445,36.623385,36.028,77.961,18.019,36.251,94.019,109.394,63.768
银川,Yin_chuan,宁夏回族自治区,Ningxia,106.238494,38.49246,32.769,98.565,13.675,30.628,97.03,110.163,71.898
乌鲁木齐,Wu_lu_mu_qi,新疆维吾尔自治区,Xinjiang,87.62444,43.830763,40.713,73.477,7.435,38.237,86.815,99.24,73.418
湘潭,Xiang_tan,湖南省,Hunan,112.950464,27.835702,43.017,57.477,8.041,29.664,84.463,98.515,63.383
株洲,Zhu_zhou,湖南省,Hunan,113.140471,27.833568,40.138,54.455,7.551,29.242,85.011,98.857,59.244
包头,Bao_tou,内蒙古自治区,Inner_Mongoria,109.846544,40.662929,36.975,94.32,14.774,32.416,90.835,103.452,70.681
鄂尔多斯,E_er_duo_si,内蒙古自治区,Inner_Mongoria,109.787443,39.614482,27.909,101.975,10.763,21.857,104.262,113.747,66.399
营口,Ying_kou,辽宁省,Liaoning,122.241575,40.673137,37.38,64.959,10.691,28.678,94.455,106.813,61.064
丹东,Dan_dong,辽宁省,Liaoning,124.361547,40.006409,28.314,49.017,12.507,19.592,84.917,94.992,48.412
盘锦,Pan_jin,辽宁省,Liaoning,122.07749,41.125875,34.16,46.967,13.493,27.926,92.747,103.251,55.724
葫芦岛,Hu_lu_dao,辽宁省,Liaoning,120.843398,40.717364,38.298,68.584,20.504,29.264,88.854,99.515,64.13
泉州,Quan_zhou,福建省,Fujian,118.682446,24.879952,21.441,40.636,5.581,18.457,100.733,120.014,40.996
临沂,Lin_yi,山东省,Shandong,118.363533,35.110671,45.298,92.81,11.504,33.077,105.829,120.689,77.77
德州,De_zhou,山东省,Shandong,116.365557,37.441308,45.16,95.328,10.642,27.416,108.014,120.829,80.146
聊城,Liao_cheng,山东省,Shandong,115.991588,36.462758,48.366,103.466,13.716,31.835,100.86,114.129,83.908
滨州,Bin_zhou,山东省,Shandong,117.977404,37.388196,42.964,86.7,15.887,31.168,109.047,124.433,74.909
淄博,Zi_bo,山东省,Shandong,118.061453,36.819086,48.851,89.182,13.815,34.581,108.017,124.375,79.592
枣庄,Zao_zhuang,山东省,Shandong,117.330542,34.815994,46.35,96.388,14.05,28.59,112.256,127.014,79.006
烟台,Yan_tai,山东省,Shandong,121.454415,37.470038,28.331,61.039,9.46,27.416,102.342,113.796,55.468
潍坊,Wei_fang,山东省,Shandong,119.168378,36.712652,40.0,81.953,8.24,30.815,98.653,112.857,70.048
济宁,Ji_ning,山东省,Shandong,116.593612,35.420177,48.871,92.099,10.656,28.545,105.466,119.275,81.087
泰安,Tai_an,山东省,Shandong,117.094495,36.205858,44.84,92.342,12.686,28.992,112.788,126.796,78.993
日照,Ri_zhao,山东省,Shandong,119.533415,35.422839,32.967,70.757,7.931,29.193,100.702,114.102,61.428
威海,Wei_hai,山东省,Shandong,122.127541,37.516431,24.917,48.647,4.824,18.077,103.275,113.755,47.09
东营,Dong_ying,山东省,Shandong,118.681385,37.439642,38.182,78.011,14.306,27.573,104.983,118.804,68.366
韶关,Shao_guan,广东省,Guangdong,113.603527,24.815881,24.339,39.061,8.777,18.802,93.24,109.022,40.506
汕头,Shan_tou,广东省,Guangdong,116.688529,23.359092,20.3,35.504,8.851,15.994,99.523,112.601,37.396
湛江,Zhan_jiang,广东省,Guangdong,110.365554,21.276723,22.901,37.691,8.92,13.846,88.614,99.7,39.284
茂名,Mao_ming,广东省,Guangdong,110.931543,21.669064,21.003,41.259,10.898,13.813,84.485,95.096,39.173
梅州,Mei_zhou,广东省,Guangdong,116.129537,24.294178,20.49,33.755,6.658,20.738,83.983,96.377,35.508
汕尾,Shan_wei,广东省,Guangdong,115.381553,22.791263,18.213,31.826,8.041,10.793,96.667,108.003,34.5
河源,He_yuan,广东省,Guangdong,114.707446,23.749684,21.132,39.65,7.311,19.413,96.08,110.758,40.088
阳江,Yang_jiang,广东省,Guangdong,111.988489,21.86434,21.209,37.366,6.733,17.226,91.532,103.526,38.17
清远,Qing_yuan,广东省,Guangdong,113.062468,23.68823,23.355,40.017,7.606,24.22,103.868,123.16,40.874
潮州,Chao_zhou,广东省,Guangdong,116.62947,23.662623,23.096,41.132,9.49,15.559,103.479,122.325,41.953
揭阳,Jie_yang,广东省,Guangdong,116.378512,23.55574,27.107,44.675,7.86,18.556,102.678,121.259,45.406
云浮,Yun_fu,广东省,Guangdong,112.051513,22.920912,24.317,44.028,11.639,24.529,82.587,96.19,42.802
玉溪,Yu_xi,云南省,Yunnan,102.55356,24.357711,20.837,36.198,9.05,19.565,84.215,93.603,37.15
菏泽,He_ze,山东省,Shandong,115.487545,35.239407,49.857,109.444,10.601,27.653,108.094,121.066,87.096
大同,Da_tong,黑龙江省,Heilongjiang,124.819377,46.045584,32.074,82.386,20.934,24.477,92.788,103.719,64.464
长治,Zhang_zhi,山西省,Shanxi,113.122559,36.201268,41.14,79.088,14.372,25.603,102.992,116.543,70.848
临汾,Lin_fen,山西省,Shanxi,111.52553,36.093742,55.14,89.003,12.223,34.477,108.851,127.46,86.882
阳泉,Yang_quan,山西省,Shanxi,113.587617,37.862361,45.972,90.981,18.917,35.97,102.328,115.237,76.89
赤峰,Chi_feng,内蒙古自治区,Inner_Mongoria,118.89552,42.261686,23.284,52.477,14.27,22.763,82.983,92.036,47.604
鞍山,An_shan,辽宁省,Liaoning,123.001373,41.115054,39.096,71.992,13.292,27.49,85.413,97.143,64.877
抚顺,Fu_shun,辽宁省,Liaoning,123.964375,41.88597,39.879,68.388,13.493,26.485,86.391,99.328,64.057
本溪,Ben_xi,辽宁省,Liaoning,123.692507,41.492916,30.212,58.928,15.702,28.749,79.848,92.289,54.02
锦州,Jin_zhou,辽宁省,Liaoning,121.132596,41.100931,41.994,66.061,20.292,28.826,83.948,94.95,66.861
吉林,Ji_lin_shi,吉林省,Jilin,126.555635,43.843568,31.846,53.138,12.256,24.066,85.325,95.468,52.158
齐齐哈尔,Qi_qi_ha_er,黑龙江省,Heilongjiang,123.924571,47.359977,20.058,45.405,15.127,15.579,76.744,84.399,42.546
牡丹江,Mu_dan_jiang,黑龙江省,Heilongjiang,129.63954,44.556246,29.446,51.377,8.03,22.915,74.264,84.377,49.094
大庆,Da_qing,黑龙江省,Heilongjiang,125.108658,46.593633,26.256,43.815,9.069,17.777,85.906,94.234,43.993
芜湖,Wu_hu,安徽省,Anhui,118.439431,31.358537,34.264,59.309,8.755,32.543,95.656,110.609,57.406
马鞍山,Ma_an_shan,安徽省,Anhui,118.51358,31.676266,35.207,63.614,9.455,33.116,98.785,114.091,60.311
九江,Jiu_jiang,江西省,Jiangxi,116.007535,29.711341,33.686,55.639,7.89,28.061,87.452,101.865,53.968
洛阳,Luo_yang,河南省,Henan,112.459421,34.624263,45.08,94.0,6.259,28.672,99.573,113.107,79.902
安阳,An_yang,河南省,Henan,114.3995,36.105941,52.245,109.08,9.193,30.738,106.237,119.948,90.505
开封,Kai_feng,河南省,Henan,114.314593,34.802886,48.92,96.711,8.375,27.361,105.912,118.815,85.024
焦作,Jiao_zuo,河南省,Henan,113.248548,35.220963,47.298,101.788,9.882,26.171,106.857,120.727,84.227
平顶山,Ping_ding_shan,河南省,Henan,113.199529,33.772051,47.196,90.78,8.708,28.73,98.493,110.576,78.217
