City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,,0.47,342.0,82.3,16385.89,0,7.42
天津市,Tianjin,TJ,117.2,39.13333,,0.25,522.75,137.82,8405.41,0,28.56
河北省,Hebei,HE,115.48333,38.03333,,7.47,8935.11,2435.76,57389.69,0,87.06
山西省,Shanxi,SX,112.53333,37.86667,,1.86,3900.53,925.54,3508.3,0,2.92
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,,1.07,5887.01,1406.08,7005.95,0,7.77
辽宁省,Liaoning,LN,123.38333,41.8,,4.11,3809.2,1510.4,45592.0,0,374.83
吉林省,Jilin,JL,125.35,43.88333,,2.38,4687.67,2214.8,43547.7,0,10.51
黑龙江省,Heilongjiang,HL,127.63333,47.75,,3.54,9858.35,2941.2,13856.39,0,41.78
上海市,Shanghai,SH,121.55333,31.2,,0.96,476.65,130.46,15900.0,0,32.69
江苏省,Jiangsu,JS,119.78333,32.05,,8.64,7797.85,2907.05,60486.36,0,334.42
浙江省,Zhejiang,ZJ,120.2,30.26667,,6.39,3064.53,942.27,18693.32,0,480.68
安徽省,Anhui,AH,117.283042,31.86119,,7.43,8997.61,2765.0,44203.84,0,163.39
福建省,Fujian,FJ,118.3,26.08333,,5.53,2661.27,763.2,18093.97,0,558.71
江西省,Jiangxi,JX,115.9,28.68333,,5.73,5355.1,1549.5,28153.71,0,138.2
山东省,Shandong,SD,117.000923,36.675807,,16.37,11047.83,3292.69,126352.58,0,695.01
河南省,Henan,HA,113.65,34.76667,,10.2,13359.76,4209.98,52847.92,0,36.22
湖北省,Hubei,HB,114.298572,30.584355,,10.63,7354.96,2047.0,31506.97,0,272.04
湖南省,Hunan,HN,113.0,28.21667,,8.7,7789.9,2501.3,35286.0,0,149.56
广东省,Guangdong,GD,113.23333,23.16667,,8.47,4932.39,1478.91,96613.9,0,628.06
广西壮族自治区,Guangxi,GX,108.320004,22.82402,,4.86,6299.92,1486.8,22918.33,0,255.15
海南省,Hainan,HI,110.35,20.01667,,1.36,863.34,188.59,6960.62,0,109.3
重庆市,Chongqing,CQ,106.45,29.56667,,1.93,3467.05,1082.4,11482.01,0,21.16
四川省,Sichuan,SC,104.06667,30.66667,,5.44,9564.55,3132.4,37148.5,0,64.84
贵州省,Guizhou,GZ,106.71667,26.56667,,0.88,4645.42,1034.2,4519.53,0,7.46
云南省,Yunnan,YN,102.73333,25.05,,2.57,5813.12,1424.74,9652.3,0,19.26
西藏自治区,Tibet,XZ,91.0,30.6,,0.06,232.89,98.28,,0,0.01
陕西省,Shaanxi,SN,108.95,34.26667,,1.02,4198.28,1005.6,5505.0,0,6.41
甘肃省,Gansu,GS,103.73333,36.03333,,1.33,3649.93,782.68,3017.66,0,1.48
青海省,Qinghai,QH,96.75,36.56667,,0.16,494.32,91.3,188.56,0,0.18
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,,0.17,1147.9,301.9,1475.14,0,4.86
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,,1.15,3478.33,835.6,6196.54,0,6.39
