City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,285,0.39,278.03,113.77,10089.37,113.6,6.38
天津市,Tianjin,TJ,117.2,39.13333,254,0.38,448.98,163.56,7654.99,53.77,36.5
河北省,Hebei,HE,115.48333,38.03333,3878,8.48,8361.89,3442.62,58564.5,1391.45,116.32
山西省,Shanxi,SX,112.53333,37.86667,1727,2.98,3696.23,1309.4,8112.35,687.03,4.12
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,1025,2.99,7670.84,2739.83,11887.42,246.7,13.16
辽宁省,Liaoning,LN,123.38333,41.8,1503,5.91,4095.55,2175.04,70659.04,745.31,478.63
吉林省,Jilin,JL,125.35,43.88333,1227,5.12,5431.98,3450.21,45014.84,121.35,18.21
黑龙江省,Heilongjiang,HL,127.63333,47.75,1606,8.05,13929.68,6598.6,21502.25,268.58,45.28
上海市,Shanghai,SH,121.55333,31.2,257,0.58,401.64,135.98,3530.44,81.86,29.71
江苏省,Jiangsu,JS,119.78333,32.05,3004,8.37,7569.22,3431.55,91884.83,795.98,493.74
浙江省,Zhejiang,ZJ,120.2,30.26667,2109,6.29,2095.67,648.22,28399.42,703.84,539.58
安徽省,Anhui,AH,117.283042,31.86119,3210,11.67,9336.3,3542.92,77904.32,885.4,207.49
福建省,Fujian,FJ,118.3,26.08333,1563,5.78,1761.23,547.33,35805.58,593.53,628.68
江西省,Jiangxi,JX,115.9,28.68333,2354,10.04,5596.83,2140.64,40281.54,571.29,237.0
山东省,Shandong,SD,117.000923,36.675807,4657,16.2,10862.27,4815.81,198877.93,2593.83,841.89
河南省,Henan,HA,113.65,34.76667,5530,12.83,14386.89,5898.38,88482.3,2388.62,71.72
湖北省,Hubei,HB,114.298572,30.584355,2704,13.95,7684.4,2485.14,50484.17,878.09,388.95
湖南省,Hunan,HN,113.0,28.21667,3544,12.3,8299.62,3061.87,41685.99,852.61,221.44
广东省,Guangdong,GD,113.23333,23.16667,3627,11.39,4248.43,1295.69,118716.3,1246.68,789.5
广西壮族自治区,Guangxi,GX,108.320004,22.82402,2653,6.78,6036.16,1426.33,88062.78,1255.83,303.87
海南省,Hainan,HI,110.35,20.01667,446,3.96,786.57,178.06,14663.66,425.78,172.73
重庆市,Chongqing,CQ,106.45,29.56667,1290,1.95,3320.31,1060.52,19802.49,280.31,33.07
四川省,Sichuan,SC,104.06667,30.66667,4580,6.03,9319.58,3271.28,61999.6,791.42,118.91
贵州省,Guizhou,GZ,106.71667,26.56667,2285,1.45,5201.03,1161.7,11171.01,139.89,13.47
云南省,Yunnan,YN,102.73333,25.05,2849,5.53,6674.13,1687.32,21642.72,598.83,40.12
西藏自治区,Tibet,XZ,91.0,30.6,243,0.09,220.24,94.89,183.15,1.3,0.04
陕西省,Shaanxi,SN,108.95,34.26667,1904,1.3,4182.84,1255.92,5448.96,1600.4,10.54
甘肃省,Gansu,GS,103.73333,36.03333,1561,7.37,3770.7,1096.0,4360.64,421.21,1.33
青海省,Qinghai,QH,96.75,36.56667,298,0.18,554.21,101.71,449.86,3.68,0.45
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,322,0.27,1176.46,374.97,1455.04,198.31,12.35
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1257,1.98,4673.34,1517.36,5918.88,1155.02,12.17
