City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,275,0.4,313.62,115.69,11779.74,115.17,6.34
天津市,Tianjin,TJ,117.2,39.13333,266,0.37,438.78,160.56,6744.42,56.88,34.49
河北省,Hebei,HE,115.48333,38.03333,3993,8.46,8260.75,3120.99,48327.16,1333.63,106.33
山西省,Shanxi,SX,112.53333,37.86667,1857,2.61,3638.11,1107.54,6425.01,500.82,3.17
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,1100,2.43,7362.07,2344.28,8958.91,254.07,11.38
辽宁省,Liaoning,LN,123.38333,41.8,1658,6.94,3950.14,1803.97,68157.19,634.16,430.38
吉林省,Jilin,JL,125.35,43.88333,1281,4.28,5258.93,2790.72,40033.54,147.85,16.6
黑龙江省,Heilongjiang,HL,127.63333,47.75,1700,7.38,13347.65,5632.86,18810.51,368.17,39.97
上海市,Shanghai,SH,121.55333,31.2,246,0.7,415.58,132.12,3993.81,98.6,28.97
江苏省,Jiangsu,JS,119.78333,32.05,3102,9.01,7462.35,3284.99,82431.78,738.57,460.44
浙江省,Zhejiang,ZJ,120.2,30.26667,2090,6.51,2322.55,686.24,28876.56,701.31,477.95
安徽省,Anhui,AH,117.283042,31.86119,3395,11.66,9386.19,3207.71,68978.5,805.3,193.31
福建省,Fujian,FJ,118.3,26.08333,1584,5.82,1945.91,584.65,23662.83,552.86,586.96
江西省,Jiangxi,JX,115.9,28.68333,2496,10.65,5505.0,1989.45,38295.81,468.4,215.34
山东省,Shandong,SD,117.000923,36.675807,4823,16.49,10677.4,4502.76,169272.81,2492.11,783.83
河南省,Henan,HA,113.65,34.76667,5784,12.49,14320.79,5581.82,81530.72,2298.73,57.86
湖北省,Hubei,HB,114.298572,30.584355,2881,14.0,7377.94,2304.26,47049.63,771.0,353.09
湖南省,Hunan,HN,113.0,28.21667,3725,11.88,8057.99,2881.55,38377.09,753.22,198.0
广东省,Guangdong,GD,113.23333,23.16667,3531,10.44,4262.77,1249.15,117484.08,1148.64,729.03
广西壮族自治区,Guangxi,GX,108.320004,22.82402,2766,6.45,5896.37,1372.08,80398.96,1056.36,275.51
海南省,Hainan,HI,110.35,20.01667,436,4.55,786.75,166.55,12907.22,373.2,149.48
重庆市,Chongqing,CQ,106.45,29.56667,1355,2.09,3129.85,1080.63,18218.55,225.09,22.43
四川省,Sichuan,SC,104.06667,30.66667,4812,6.22,9158.73,3182.84,56423.74,707.74,105.06
贵州省,Guizhou,GZ,106.71667,26.56667,2303,1.29,4896.93,1079.35,9262.7,117.21,8.79
云南省,Yunnan,YN,102.73333,25.05,3005,4.62,6257.06,1501.61,20086.05,407.14,29.78
西藏自治区,Tibet,XZ,91.0,30.6,232,0.1,218.86,91.2,72.08,1.36,0.05
陕西省,Shaanxi,SN,108.95,34.26667,2026,1.24,4237.57,1185.98,5153.87,1418.28,6.04
甘肃省,Gansu,GS,103.73333,36.03333,1635,4.46,3723.47,948.79,3847.74,373.17,1.23
青海省,Qinghai,QH,96.75,36.56667,311,0.21,526.75,102.21,372.32,3.83,0.16
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,330,0.26,1205.86,356.39,1378.62,196.17,9.0
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1245,1.82,4236.75,1362.36,5117.18,976.31,10.11
