City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,291,0.3,145.55,52.76,3882.74,78.97,5.43
天津市,Tianjin,TJ,117.2,39.13333,241,0.33,443.66,200.4,7335.77,54.15,39.44
河北省,Hebei,HE,115.48333,38.03333,3402,8.17,8467.51,3782.99,61875.29,1333.07,136.93
山西省,Shanxi,SX,112.53333,37.86667,1502,3.06,3591.54,1380.33,12328.16,835.16,5.23
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,892,3.23,8957.21,3263.28,10159.98,296.6,15.83
辽宁省,Liaoning,LN,123.38333,41.8,1347,5.63,4242.73,2315.6,79951.93,755.24,550.07
吉林省,Jilin,JL,125.35,43.88333,1059,5.85,6063.25,4150.7,48098.82,88.23,20.07
黑龙江省,Heilongjiang,HL,127.63333,47.75,1347,8.25,14829.46,7416.13,23656.04,244.67,57.3
上海市,Shanghai,SH,121.55333,31.2,271,0.39,303.78,111.78,1620.66,45.67,29.62
江苏省,Jiangsu,JS,119.78333,32.05,2604,7.62,7639.9,3542.44,75966.6,893.0,520.74
浙江省,Zhejiang,ZJ,120.2,30.26667,1960,4.95,1946.46,564.84,18294.39,724.32,604.54
安徽省,Anhui,AH,117.283042,31.86119,2858,10.57,8790.1,3961.76,91376.78,581.77,235.8
福建省,Fujian,FJ,118.3,26.08333,1430,5.54,1548.8,477.28,83289.2,591.76,767.78
江西省,Jiangxi,JX,115.9,28.68333,2069,9.22,5668.88,2234.4,45385.84,617.69,271.61
山东省,Shandong,SD,117.000923,36.675807,4076,14.86,11278.61,5332.28,214069.85,2799.23,950.19
河南省,Henan,HA,113.65,34.76667,5008,12.71,14902.72,6498.01,83926.15,2541.05,128.35
湖北省,Hubei,HB,114.298572,30.584355,2438,11.74,7908.5,2796.35,53278.13,1003.22,470.84
湖南省,Hunan,HN,113.0,28.21667,3134,11.87,8341.5,3052.3,42732.9,924.55,269.57
广东省,Guangdong,GD,113.23333,23.16667,3555,11.37,4181.56,1204.22,105625.58,1444.57,873.79
广西壮族自治区,Guangxi,GX,108.320004,22.82402,2465,8.57,5966.74,1419.03,91441.98,1729.76,361.77
海南省,Hainan,HI,110.35,20.01667,414,3.4,731.9,146.1,15314.98,390.07,214.64
重庆市,Chongqing,CQ,106.45,29.56667,1140,1.76,3333.1,1078.2,20569.84,369.24,50.84
四川省,Sichuan,SC,104.06667,30.66667,4126,5.8,9493.82,3469.93,68489.75,960.05,145.44
贵州省,Guizhou,GZ,106.71667,26.56667,2046,1.37,5604.8,1264.25,13310.98,235.84,28.99
云南省,Yunnan,YN,102.73333,25.05,2589,5.86,6786.62,1815.07,23925.52,797.74,74.37
西藏自治区,Tibet,XZ,91.0,30.6,233,0.11,263.15,103.87,219.2,1.65,0.09
陕西省,Shaanxi,SN,108.95,34.26667,1689,1.32,4160.15,1263.96,6368.91,1826.38,15.9
甘肃省,Gansu,GS,103.73333,36.03333,1359,6.99,3749.2,1117.48,5647.19,564.05,1.53
青海省,Qinghai,QH,96.75,36.56667,270,0.19,557.75,104.78,571.79,3.85,1.21
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,287,0.26,1118.85,370.65,1769.65,217.78,17.46
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1204,2.76,5921.27,1552.33,9049.62,1455.9,16.16
