City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,252,0.47,318.0,94.93,16852.53,111.88,6.43
天津市,Tianjin,TJ,117.2,39.13333,259,0.33,499.42,137.5,9205.64,68.24,33.81
河北省,Hebei,HE,115.48333,38.03333,4269,8.08,8785.48,2598.58,70579.79,1397.88,98.95
山西省,Shanxi,SX,112.53333,37.86667,1942,2.28,3795.35,978.0,3494.22,314.45,3.75
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,1269,1.48,6215.73,1662.15,14535.89,178.79,8.26
辽宁省,Liaoning,LN,123.38333,41.8,1743,4.58,3796.7,1745.8,54757.84,451.29,425.34
吉林省,Jilin,JL,125.35,43.88333,1290,2.89,4954.12,2581.21,47997.98,235.33,11.89
黑龙江省,Heilongjiang,HL,127.63333,47.75,1792,4.75,10083.66,3092.0,15096.34,352.56,44.6
上海市,Shanghai,SH,121.55333,31.2,206,0.84,403.62,105.36,7700.0,101.03,35.35
江苏省,Jiangsu,JS,119.78333,32.05,3756,10.33,7641.2,2834.59,61706.22,606.35,388.66
浙江省,Zhejiang,ZJ,120.2,30.26667,2195,6.56,2837.94,814.7,21624.47,577.96,483.77
安徽省,Anhui,AH,117.283042,31.86119,3947,9.48,9172.45,2605.3,48794.44,711.59,177.57
福建省,Fujian,FJ,118.3,26.08333,1800,5.6,2481.27,715.18,19585.02,559.08,602.22
江西省,Jiangxi,JX,115.9,28.68333,2716,7.53,5251.42,1757.0,35313.92,325.43,168.66
山东省,Shandong,SD,117.000923,36.675807,5086,15.56,10736.06,3917.38,173620.04,2546.84,736.14
河南省,Henan,HA,113.65,34.76667,6505,10.51,13922.73,4582.0,69270.0,1842.17,51.68
湖北省,Hubei,HB,114.298572,30.584355,3243,11.02,7279.42,2177.38,35792.3,566.77,318.21
湖南省,Hunan,HN,113.0,28.21667,3985,11.33,7977.64,2678.6,39209.78,519.49,179.22
广东省,Guangdong,GD,113.23333,23.16667,3615,8.7,4815.37,1394.97,101019.4,946.46,695.23
广西壮族自治区,Guangxi,GX,108.320004,22.82402,3093,5.33,6489.24,1487.3,27111.61,766.84,284.19
海南省,Hainan,HI,110.35,20.01667,454,1.81,778.06,153.0,8841.84,220.36,150.01
重庆市,Chongqing,CQ,106.45,29.56667,1533,1.95,3444.73,1168.21,15038.23,154.63,25.06
四川省,Sichuan,SC,104.06667,30.66667,5502,5.63,9480.2,3211.1,47619.76,527.16,98.25
贵州省,Guizhou,GZ,106.71667,26.56667,2728,0.98,4804.1,1152.06,7038.77,95.96,9.46
云南省,Yunnan,YN,102.73333,25.05,3138,3.06,6053.79,1514.93,12148.9,169.69,23.85
西藏自治区,Tibet,XZ,91.0,30.6,222,0.07,234.96,93.4,,0.89,0.01
陕西省,Shaanxi,SN,108.95,34.26667,2316,0.99,4201.83,1043.0,6366.02,906.14,7.36
甘肃省,Gansu,GS,103.73333,36.03333,1781,2.08,3726.01,836.89,3708.6,280.7,1.57
青海省,Qinghai,QH,96.75,36.56667,330,0.17,476.73,93.26,264.68,2.6,0.09
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,344,0.16,1099.33,299.81,1848.11,69.61,5.83
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1264,1.46,3731.16,876.6,10349.47,511.91,7.93
