City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,35445.1,2190,4822.98,67756,10336,147.95,43.8
天津市,Tianjin,TJ,117.2,39.13333,14055.5,1385,1634.35,42404,5962,62.71,12.1
河北省,Hebei,HE,115.48333,38.03333,34978.6,7447,2630.73,25665,84651,199.21,26.8
山西省,Shanxi,SX,112.53333,37.86667,16961.6,3497,1783.66,23828,42162,98.58,20.5
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,17212.5,2415,1539.69,30555,24564,81.06,22.1
辽宁省,Liaoning,LN,123.38333,41.8,24855.3,4277,1929.52,31820,34238,105.94,39.2
吉林省,Jilin,JL,125.35,43.88333,11726.8,2448,797.98,24563,22198,67.77,41.5
黑龙江省,Heilongjiang,HL,127.63333,47.75,13544.4,3255,924.4,24254,20375,81.16,43.8
上海市,Shanghai,SH,121.55333,31.2,37987.6,2481,6216.29,69442,5597,141.25,14.0
江苏省,Jiangsu,JS,119.78333,32.05,98656.8,8469,7339.59,41400,34796,310.93,15.2
浙江省,Zhejiang,ZJ,120.2,30.26667,62462.0,6375,5898.75,49899,34119,273.44,59.4
安徽省,Anhui,AH,117.283042,31.86119,36845.5,6092,2209.73,26415,26435,163.76,28.7
福建省,Fujian,FJ,118.3,26.08333,42326.6,4137,2208.98,35616,27788,134.29,66.8
江西省,Jiangxi,JX,115.9,28.68333,24667.3,4516,1747.63,26262,37029,145.35,61.2
山东省,Shandong,SD,117.000923,36.675807,70540.5,10106,4849.29,31597,83616,290.02,17.5
河南省,Henan,HA,113.65,34.76667,53717.8,9901,2841.34,23903,70734,266.85,24.1
湖北省,Hubei,HB,114.298572,30.584355,45429.0,5927,2530.82,28319,35515,160.67,39.6
湖南省,Hunan,HN,113.0,28.21667,39894.1,6640,2061.96,27680,57230,177.54,49.7
广东省,Guangdong,GD,113.23333,23.16667,107986.9,12489,10063.95,39014,53900,491.88,53.5
广西壮族自治区,Guangxi,GX,108.320004,22.82402,21237.1,4982,1146.78,23328,33679,143.68,60.2
海南省,Hainan,HI,110.35,20.01667,5330.8,995,653.25,26679,5417,42.44,57.4
重庆市,Chongqing,CQ,106.45,29.56667,23605.8,3188,1541.22,28920,21057,114.43,43.1
四川省,Sichuan,SC,104.06667,30.66667,46363.8,8351,2888.74,24703,83756,225.47,38.0
贵州省,Guizhou,GZ,106.71667,26.56667,16769.3,3848,1204.02,20397,28511,136.23,43.8
云南省,Yunnan,YN,102.73333,25.05,23223.8,4714,1450.63,22082,25587,148.34,55.0
西藏自治区,Tibet,XZ,91.0,30.6,1697.8,361,157.52,19501,6940,28.81,12.1
陕西省,Shaanxi,SN,108.95,34.26667,25793.2,3944,1846.11,24666,35404,124.9,43.1
甘肃省,Gansu,GS,103.73333,36.03333,8718.3,2509,577.92,19139,26697,79.99,11.3
青海省,Qinghai,QH,96.75,36.56667,2941.1,590,198.7,22618,6513,28.95,5.8
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,3748.5,717,267.5,24412,4397,25.33,12.6
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,13597.1,2559,1016.09,23103,18376,102.15,4.9
