City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,287,0.27,120.94,41.12,3115.2,74.4,4.51
天津市,Tianjin,TJ,117.2,39.13333,232,0.24,439.52,212.27,6137.62,58.25,32.33
河北省,Hebei,HE,115.48333,38.03333,3279,7.76,8381.65,3829.25,60637.78,1365.34,116.46
山西省,Shanxi,SX,112.53333,37.86667,1453,2.88,3577.62,1355.1,12330.33,844.02,5.3
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,861,3.56,9014.22,3254.54,10271.1,322.88,15.62
辽宁省,Liaoning,LN,123.38333,41.8,1316,5.75,4172.32,2330.74,75891.81,770.27,479.44
吉林省,Jilin,JL,125.35,43.88333,1018,5.63,6086.2,4154.0,42818.44,89.52,22.04
黑龙江省,Heilongjiang,HL,127.63333,47.75,1295,8.32,14767.59,7410.34,25464.68,236.91,58.73
上海市,Shanghai,SH,121.55333,31.2,269,0.35,284.95,99.78,1272.74,46.39,26.89
江苏省,Jiangsu,JS,119.78333,32.05,2512,7.32,7556.4,3610.8,66150.9,942.5,507.59
浙江省,Zhejiang,ZJ,120.2,30.26667,1918,4.63,1981.11,580.14,17319.88,751.29,594.45
安徽省,Anhui,AH,117.283042,31.86119,2769,9.94,8726.68,4019.71,87351.89,606.35,217.96
福建省,Fujian,FJ,118.3,26.08333,1391,5.22,1549.34,487.15,91460.58,644.67,744.57
江西省,Jiangxi,JX,115.9,28.68333,1998,8.77,5638.46,2221.73,43888.17,670.12,250.55
山东省,Shandong,SD,117.000923,36.675807,3934,14.07,11107.79,5374.31,220172.53,2804.3,868.0
河南省,Henan,HA,113.65,34.76667,4859,12.07,14732.53,6524.25,90681.61,2602.44,94.67
湖北省,Hubei,HB,114.298572,30.584355,2369,10.96,7956.14,2846.13,51946.17,948.44,465.42
湖南省,Hunan,HN,113.0,28.21667,3010,11.6,8321.97,3073.6,42263.8,956.39,241.53
广东省,Guangdong,GD,113.23333,23.16667,3552,11.3,4227.51,1208.56,108703.32,1538.73,833.54
广西壮族自治区,Guangxi,GX,108.320004,22.82402,2425,7.25,5969.88,1370.49,86486.27,1900.4,320.77
海南省,Hainan,HI,110.35,20.01667,408,3.34,709.44,138.11,15564.87,405.48,180.79
重庆市,Chongqing,CQ,106.45,29.56667,1100,1.75,3339.56,1079.88,21315.9,403.38,51.51
四川省,Sichuan,SC,104.06667,30.66667,3997,5.58,9575.05,3488.9,65259.81,1007.88,150.74
贵州省,Guizhou,GZ,106.71667,26.56667,1987,1.34,5659.37,1242.45,11045.01,280.14,25.48
云南省,Yunnan,YN,102.73333,25.05,2521,5.77,6790.8,1843.42,24017.77,783.9,63.12
西藏自治区,Tibet,XZ,91.0,30.6,233,0.11,254.05,106.53,203.43,0.16,0.05
陕西省,Shaanxi,SN,108.95,34.26667,1637,1.33,4063.88,1194.2,5377.6,1922.06,16.3
甘肃省,Gansu,GS,103.73333,36.03333,1308,5.2,3752.03,1105.9,3704.25,630.85,1.54
青海省,Qinghai,QH,96.75,36.56667,261,0.19,555.31,102.55,520.39,3.65,1.61
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,275,0.25,1132.63,370.05,1796.02,210.6,18.09
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1193,2.77,5886.96,1484.73,9020.69,1420.2,16.55
