City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,279,0.39,298.62,121.77,10736.65,120.87,6.12
天津市,Tianjin,TJ,117.2,39.13333,262,0.38,442.45,163.16,6948.59,57.55,35.21
河北省,Hebei,HE,115.48333,38.03333,3935,8.3,8278.32,3344.98,51189.06,1364.92,106.71
山西省,Shanxi,SX,112.53333,37.86667,1788,2.84,3694.41,1225.4,6841.07,603.07,3.61
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,1061,2.45,7539.51,2573.41,9434.46,248.63,12.29
辽宁省,Liaoning,LN,123.38333,41.8,1574,5.66,3997.53,2103.86,68684.07,691.95,451.47
吉林省,Jilin,JL,125.35,43.88333,1270,4.56,5297.23,3231.79,41769.21,138.77,17.28
黑龙江省,Heilongjiang,HL,127.63333,47.75,1646,7.8,13749.58,6212.57,19563.0,362.43,41.97
上海市,Shanghai,SH,121.55333,31.2,252,0.63,420.03,136.16,4181.94,84.21,28.73
江苏省,Jiangsu,JS,119.78333,32.05,3048,8.65,7508.44,3357.1,86754.35,757.08,475.97
浙江省,Zhejiang,ZJ,120.2,30.26667,2100,6.39,2267.84,676.41,26908.1,712.35,515.81
安徽省,Anhui,AH,117.283042,31.86119,3297,11.75,9392.44,3313.99,73309.91,846.62,199.55
福建省,Fujian,FJ,118.3,26.08333,1585,5.83,1878.97,576.13,26766.67,570.35,603.74
江西省,Jiangxi,JX,115.9,28.68333,2427,9.95,5546.41,2098.52,39203.23,580.58,217.27
山东省,Shandong,SD,117.000923,36.675807,4749,16.48,10782.86,4701.34,181263.7,2528.84,813.83
河南省,Henan,HA,113.65,34.76667,5632,12.87,14373.32,5733.92,84214.36,2297.37,65.47
湖北省,Hubei,HB,114.298572,30.584355,2777,13.95,7454.98,2407.45,46358.37,798.79,356.22
湖南省,Hunan,HN,113.0,28.21667,3622,12.04,8178.06,2983.62,39292.23,783.75,199.94
广东省,Guangdong,GD,113.23333,23.16667,3596,11.41,4244.73,1275.73,116475.4,1199.74,762.53
广西壮族自治区,Guangxi,GX,108.320004,22.82402,2705,6.62,5899.88,1382.26,83482.96,1170.52,289.23
海南省,Hainan,HI,110.35,20.01667,442,4.69,782.4,170.75,13763.24,401.21,160.24
重庆市,Chongqing,CQ,106.45,29.56667,1325,2.03,3225.78,1064.16,18952.04,249.16,27.56
四川省,Sichuan,SC,104.06667,30.66667,4689,6.19,9215.4,3249.51,57942.73,752.94,112.15
贵州省,Guizhou,GZ,106.71667,26.56667,2293,1.45,4998.1,922.9,10045.9,121.81,10.88
云南省,Yunnan,YN,102.73333,25.05,2930,4.82,6484.91,1623.25,20503.75,488.66,34.24
西藏自治区,Tibet,XZ,91.0,30.6,239,0.1,219.04,93.73,185.63,1.4,0.04
陕西省,Shaanxi,SN,108.95,34.26667,1982,1.24,4193.6,1207.39,4621.37,1509.3,8.18
甘肃省,Gansu,GS,103.73333,36.03333,1601,6.84,3774.33,1009.06,4041.94,390.27,1.29
青海省,Qinghai,QH,96.75,36.56667,304,0.2,540.05,103.44,413.66,4.44,0.33
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,323,0.27,1205.76,358.84,1463.86,195.46,10.54
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1252,1.93,4475.41,1426.73,5405.36,985.56,11.16
