City,City_En,Abb,Longtitude,Latitude,GRDP,RP,LFTR,PCDI,MHI,EF,FCR
北京市,Beijing,BJ,116.41667,39.91667,22926.0,2171,3861.29,44489,9638,109.37,43.8
天津市,Tianjin,TJ,117.2,39.13333,10640.6,1429,1486.88,28832,4990,63.26,12.1
河北省,Hebei,HE,115.48333,38.03333,25208.9,7323,1866.06,16647,78895,108.62,26.8
山西省,Shanxi,SX,112.53333,37.86667,12094.7,3528,1134.34,16538,40777,70.36,20.5
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,12158.2,2449,1251.07,20559,23426,63.94,22.1
辽宁省,Liaoning,LN,123.38333,41.8,20025.7,4358,2330.57,22820,35441,87.01,39.2
吉林省,Jilin,JL,125.35,43.88333,9966.5,2642,884.4,17520,19891,53.53,41.5
黑龙江省,Heilongjiang,HL,127.63333,47.75,12170.8,3608,977.4,17404,21229,62.79,43.8
上海市,Shanghai,SH,121.55333,31.2,25269.8,2467,4219.05,45966,4984,98.92,14.0
江苏省,Jiangsu,JS,119.78333,32.05,64830.5,8281,6006.05,27173,31995,208.01,15.2
浙江省,Zhejiang,ZJ,120.2,30.26667,40023.5,5890,3853.96,32658,30358,160.8,59.4
安徽省,Anhui,AH,117.283042,31.86119,22519.7,5997,1692.52,16796,24824,104.58,28.7
福建省,Fujian,FJ,118.3,26.08333,24942.1,3945,1893.73,23331,28030,89.29,66.8
江西省,Jiangxi,JX,115.9,28.68333,15667.8,4480,1381.13,16734,38873,89.3,61.2
山东省,Shandong,SD,117.000923,36.675807,50774.8,9808,3965.76,20864,77012,188.48,17.5
河南省,Henan,HA,113.65,34.76667,34574.8,9645,1951.46,15695,71154,163.86,24.1
湖北省,Hubei,HB,114.298572,30.584355,28242.1,5816,1873.11,18283,36077,98.75,39.6
湖南省,Hunan,HN,113.0,28.21667,25881.3,6611,1438.52,17622,61571,112.85,49.7
广东省,Guangdong,GD,113.23333,23.16667,68173.0,11489,6510.47,25685,48085,273.57,53.5
广西壮族自治区,Guangxi,GX,108.320004,22.82402,13587.8,4770,978.07,15557,34667,85.86,60.2
海南省,Hainan,HI,110.35,20.01667,3449.0,936,480.55,17476,5075,24.14,57.4
重庆市,Chongqing,CQ,106.45,29.56667,14623.8,3043,1281.83,18352,18767,69.8,43.1
四川省,Sichuan,SC,104.06667,30.66667,28891.3,8139,2312.46,15749,81070,145.08,38.0
贵州省,Guizhou,GZ,106.71667,26.56667,9173.1,3677,1026.7,12371,28995,77.0,43.8
云南省,Yunnan,YN,102.73333,25.05,14041.7,4653,1233.23,13772,24281,91.99,55.0
西藏自治区,Tibet,XZ,91.0,30.6,939.7,325,85.86,10730,6795,15.3,12.1
陕西省,Shaanxi,SN,108.95,34.26667,17402.5,3827,1335.68,15837,37247,91.02,43.1
甘肃省,Gansu,GS,103.73333,36.03333,6518.4,2531,490.26,12185,27916,51.82,11.3
青海省,Qinghai,QH,96.75,36.56667,1847.7,576,199.39,14374,6241,19.77,5.8
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,2473.9,678,250.33,15907,4255,16.98,12.6
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,9264.5,2325,887.79,15097,18873,63.5,4.9
