City,City_En,Abb,Longtitude,Latitude,RP,PU,TSAC,Food,SQP,Fruit,TPAP
北京市,Beijing,BJ,116.41667,39.91667,267,0.39,319.01,125.45,11982.98,118.8,6.08
天津市,Tianjin,TJ,117.2,39.13333,268,0.38,436.93,149.46,5937.73,60.44,32.25
河北省,Hebei,HE,115.48333,38.03333,4060,8.51,8422.27,2994.99,54094.54,1401.31,96.64
山西省,Shanxi,SX,112.53333,37.86667,1872,2.4,3530.31,1034.4,6140.3,451.14,3.07
内蒙古自治区,Inner Mongoria,IM,111.670801,41.818311,1180,1.91,6750.57,2100.94,8751.2,201.98,9.82
辽宁省,Liaoning,LN,123.38333,41.8,1724,5.25,3725.86,1879.37,63838.42,550.04,377.65
吉林省,Jilin,JL,125.35,43.88333,1279,4.05,5077.82,2896.41,38327.7,224.28,15.5
黑龙江省,Heilongjiang,HL,127.63333,47.75,1706,6.24,12389.77,4627.26,16701.46,292.36,35.58
上海市,Shanghai,SH,121.55333,31.2,244,0.81,396.06,122.27,4408.63,109.37,32.34
江苏省,Jiangsu,JS,119.78333,32.05,3547,9.38,7351.62,3192.23,69069.76,682.86,425.0
浙江省,Zhejiang,ZJ,120.2,30.26667,2210,6.58,2471.34,731.54,28470.81,747.93,418.79
安徽省,Anhui,AH,117.283042,31.86119,3650,11.15,9117.26,3140.87,60662.7,691.86,172.28
福建省,Fujian,FJ,118.3,26.08333,1710,5.75,2132.84,612.97,21779.78,586.19,542.0
江西省,Jiangxi,JX,115.9,28.68333,2580,9.67,5430.07,1975.43,35410.06,444.53,190.39
山东省,Shandong,SD,117.000923,36.675807,4935,17.35,10989.98,4353.93,155662.06,2475.94,730.3
河南省,Henan,HA,113.65,34.76667,6032,11.91,14403.71,5405.8,73409.58,2086.74,50.58
湖北省,Hubei,HB,114.298572,30.584355,3130,13.84,7131.55,2145.47,39711.45,682.5,313.39
湖南省,Hunan,HN,113.0,28.21667,3691,11.28,7613.5,2822.19,34779.9,646.72,178.59
广东省,Guangdong,GD,113.23333,23.16667,3624,10.05,4273.85,1210.02,110716.06,1042.51,680.41
广西壮族自治区,Guangxi,GX,108.320004,22.82402,2978,6.2,5850.33,1375.33,71195.94,840.77,249.98
海南省,Hainan,HI,110.35,20.01667,444,3.24,793.61,175.88,11259.21,324.39,139.4
重庆市,Chongqing,CQ,106.45,29.56667,1420,2.1,3109.13,1112.16,15746.71,178.54,19.06
四川省,Sichuan,SC,104.06667,30.66667,5094,6.08,9294.65,3110.99,53933.92,625.17,95.2
贵州省,Guizhou,GZ,106.71667,26.56667,2549,1.29,4665.46,1102.64,7871.58,110.95,7.8
云南省,Yunnan,YN,102.73333,25.05,3044,4.29,6194.88,1503.94,16873.58,317.47,25.46
西藏自治区,Tibet,XZ,91.0,30.6,228,0.12,215.07,95.03,103.53,1.14,0.05
陕西省,Shaanxi,SN,108.95,34.26667,2153,1.1,4214.55,1120.25,5840.54,1222.42,5.22
甘肃省,Gansu,GS,103.73333,36.03333,1695,3.65,3676.63,870.44,3531.9,321.1,1.18
青海省,Qinghai,QH,96.75,36.56667,328,0.2,500.3,102.15,334.59,3.26,0.15
宁夏回族自治区,Ningxia,NX,106.26667,37.46667,340,0.24,1198.95,329.22,1305.94,172.04,7.51
新疆维吾尔自治区,Xinjiang,XJ,87.68333,43.76667,1286,1.84,3887.63,1015.24,4573.74,664.37,9.12
